project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type
0,0,3.269568939183719,EU,Unknown,Unknown,PEM,2020.0,6,0,0
1,0,0.09531017980432487,EU,Unknown,Unknown,PEM,2020.0,6,0,0
2,0,3.044522437723423,EU,Unknown,Unknown,PEM,2021.0,5,0,0
3,0,3.9318256327243257,EU,Unknown,Unknown,PEM,2022.0,4,0,0
4,0,5.030437921392435,EU,Other,"Endesa, S.A.",PEM,2021.0,5,0,0
5,0,0.09531017980432487,EU,Unknown,Unknown,PEM,2009.0,17,0,0
6,0,0.0,North_America,Unknown,Unknown,PEM,2020.0,6,0,0
7,0,5.87493073085203,EU,Unknown,Unknown,PEM,2020.0,6,0,0
8,0,5.356586274672012,EU,Unknown,Unknown,PEM,2021.0,5,0,0
9,0,3.044522437723423,EU,Utility,"Iberdrola, S.A.",PEM,2020.0,6,0,0
10,0,5.303304908059076,EU,Other,unknown,PEM,2020.0,6,0,0
11,0,6.478509642208569,EU,Unknown,Unknown,PEM,2022.0,4,0,0
12,0,0.14842000511827327,EU,Unknown,Unknown,PEM,2022.0,4,0,0
13,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2021.0,5,0,0
14,1,0.0,EU,Industrial_gas,L'Air Liquide S.A.,Blue_CCS,2021.0,5,0,0
15,0,0.1988508587451652,EU,Unknown,Unknown,PEM,2018.0,8,0,0
16,0,0.6931471805599453,North_America,Unknown,Unknown,PEM,2020.0,6,0,0
17,0,5.303304908059076,EU,Industrial_gas,L'Air Liquide S.A.,PEM,2017.0,9,0,0
18,0,0.22314355131420976,EU,Unknown,Unknown,PEM,2010.0,16,0,0
19,0,1.0986122886681098,Other_Europe,Unknown,Unknown,PEM,2021.0,5,0,0
20,0,0.26236426446749106,Other_Europe,Unknown,Unknown,PEM,2017.0,9,0,0
21,0,1.0986122886681098,Other_Europe,Other,Hydrospider AG,PEM,2016.0,10,0,0
22,0,0.30010459245033805,Other_Europe,Unknown,Unknown,PEM,2009.0,17,0,0
23,0,0.009950330853168083,North_America,Unknown,Unknown,PEM,2008.0,18,0,0
24,0,1.3862943611198906,EU,Unknown,Unknown,PEM,2020.0,6,0,0
25,0,0.0295588022415444,North_America,Unknown,Unknown,PEM,2006.0,20,0,0
26,1,0.0,Other,Unknown,Unknown,Blue_CCS,2021.0,2,1,1
27,1,0.0,Other,Unknown,Unknown,Blue_CCS,2021.0,5,0,0
28,1,0.0,Other,Other,Gazprom,Blue_CCS,2021.0,5,0,0
29,0,1.791759469228055,EU,Unknown,Unknown,PEM,2022.0,4,0,0
30,0,1.791759469228055,EU,Unknown,Unknown,PEM,2021.0,5,0,0
31,0,4.02535169073515,EU,Unknown,Unknown,PEM,2019.0,3,1,2
32,0,3.044522437723423,EU,Unknown,Unknown,PEM,2021.0,5,0,0
33,0,2.3978952727983707,EU,Steel,ArcelorMittal S.A.,PEM,2020.0,6,0,0
34,0,0.0,North_America,Unknown,Unknown,PEM,2007.0,19,0,0
35,0,3.044522437723423,EU,Industrial_gas,L'Air Liquide S.A.,PEM,2021.0,5,0,0
36,0,4.51085950651685,EU,Unknown,Unknown,PEM,2019.0,7,0,0
37,0,2.3978952727983707,EU,Other,unknown,PEM,2019.0,7,0,0
38,0,4.007333185232471,EU,Other,BASF SE,PEM,2021.0,5,0,0
39,0,4.61512051684126,EU,Other,Luxcara GmbH,PEM,2020.0,6,0,0
40,0,5.771441123130016,EU,Other,EWE Aktiengesellschaft,PEM,2021.0,5,0,0
41,0,2.277267285009756,EU,Unknown,Unknown,PEM,2020.0,6,0,0
42,0,5.303304908059076,EU,Other,Uniper SE,PEM,2020.0,6,0,0
43,0,4.61512051684126,EU,Oil_major,BP p.l.c.,PEM,2020.0,6,0,0
44,0,4.61512051684126,EU,Utility,RWE Aktiengesellschaft,PEM,2021.0,5,0,0
45,0,4.61512051684126,EU,Utility,RWE Aktiengesellschaft,PEM,2022.0,4,0,0
46,0,3.2188758248682006,EU,Industrial_gas,Linde plc,PEM,2021.0,5,0,0
47,1,0.0,North_America,Other,"Tallgrass Energy, LP",Blue_CCS,2021.0,5,0,0
48,0,0.5306282510621704,EU,Unknown,Unknown,PEM,2018.0,8,0,0
49,0,4.61512051684126,EU,Oil_major,Shell plc,PEM,2021.0,5,0,0
50,0,0.5423242908253617,EU,Unknown,Unknown,PEM,2018.0,8,0,0
51,0,0.6312717768418579,EU,Unknown,Unknown,PEM,2017.0,9,0,0
52,0,0.6418538861723948,EU,Unknown,Unknown,PEM,2017.0,9,0,0
53,0,0.6418538861723948,EU,Unknown,Unknown,PEM,2017.0,9,0,0
54,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2015.0,11,0,0
55,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2015.0,11,0,0
56,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2011.0,15,0,0
57,1,0.0,North_America,Other,Exxon Mobil Corporation,Blue_CCS,2022.0,2,1,2
58,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2013.0,13,0,0
59,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2013.0,13,0,0
60,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2016.0,10,0,0
61,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2013.0,13,0,0
62,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2011.0,15,0,0
63,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2015.0,11,0,0
64,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2010.0,16,0,0
65,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2011.0,15,0,0
66,0,0.7654678421395714,EU,Unknown,Unknown,PEM,2012.0,14,0,0
67,0,0.7884573603642702,EU,Unknown,Unknown,PEM,2011.0,15,0,0
68,0,0.8109302162163288,EU,Unknown,Unknown,PEM,2013.0,13,0,0
69,1,0.0,North_America,Other,Ekona Power Inc.,Blue_CCS,2021.0,5,0,0
70,0,1.0986122886681098,EU,Unknown,Unknown,PEM,2007.0,19,0,0
71,1,0.0,North_America,Unknown,Unknown,Blue_CCS,2021.0,5,0,0
72,0,1.2237754316221157,EU,Unknown,Unknown,PEM,2018.0,8,0,0
73,0,1.252762968495368,EU,Unknown,Unknown,PEM,2020.0,6,0,0
74,1,0.0,North_America,Other,"BayoTech, Inc.",Blue_CCS,2021.0,5,0,0
75,0,1.252762968495368,EU,Unknown,Unknown,PEM,2020.0,6,0,0
76,0,1.252762968495368,EU,Unknown,Unknown,PEM,2018.0,8,0,0
77,1,0.0,EU,Other,Gazprom Energoholding LLC ,Blue_CCS,2020.0,6,0,0
78,0,0.16551443847757338,ANZ,Unknown,Unknown,PEM,2020.0,6,0,0
79,1,0.0,ANZ,Unknown,Unknown,Blue_CCS,2022.0,4,0,0
80,1,0.0,North_America,Industrial_gas,L'Air Liquide S.A.,Blue_CCS,2020.0,6,0,0
81,0,1.252762968495368,ANZ,Unknown,Unknown,PEM,2022.0,4,0,0
82,0,1.791759469228055,ANZ,Unknown,Unknown,PEM,2022.0,4,0,0
83,1,0.0,North_America,Other,"Tallgrass Energy, LP",Blue_CCS,2021.0,5,0,0
84,1,0.0,North_America,Other,Wabash Valley Resources LLC,Blue_CCS,2021.0,5,0,0
85,0,5.0106352940962555,ANZ,Unknown,Unknown,PEM,2020.0,6,0,0
86,1,0.0,ANZ,Other,"Kawasaki Heavy Industries, Ltd",Blue_CCS,2023.0,3,0,0
87,1,0.0,ANZ,Other,Australian Future Energy Pty Ltd,Blue_CCS,2022.0,4,0,0
88,1,0.0,North_America,Other,"Lake Charles Methanol, LLC",Blue_CCS,2022.0,4,0,0
89,0,2.9231615807191558,ANZ,Unknown,Unknown,PEM,2021.0,5,0,0
90,1,0.0,ANZ,Other,Origin Energy Limited,Blue_CCS,2021.0,5,0,0
91,1,0.0,North_America,Industrial_gas,"Air Products and Chemicals, Inc.",Blue_CCS,2021.0,5,0,0
92,0,0.0,ANZ,Unknown,Unknown,PEM,2021.0,5,0,0
93,0,0.8754687373538999,ANZ,Unknown,Unknown,PEM,2020.0,6,0,0
94,0,0.04879016416943201,ANZ,Unknown,Unknown,PEM,2021.0,5,0,0
95,0,3.9318256327243257,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0
96,0,2.3978952727983707,ANZ,Unknown,Unknown,PEM,2020.0,6,0,0
97,0,0.6931471805599453,ANZ,Unknown,Unknown,PEM,2020.0,6,0,0
98,0,0.8109302162163288,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0
99,0,0.04879016416943201,ANZ,Unknown,Unknown,PEM,2018.0,8,0,0
100,0,5.081404364984463,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0
101,0,0.009950330853168083,ANZ,Unknown,Unknown,PEM,2021.0,2,1,2
102,1,0.0,North_America,Other,"Coffeyville Resources Nitrogen   Fertilizers, LLC",Blue_CCS,2011.0,15,0,0
103,0,1.3862943611198906,ANZ,Unknown,Unknown,PEM,2021.0,5,0,0
104,0,7.313886831633462,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0
105,1,0.0,ANZ,Other,Woodside Energy Group Ltd,Blue_CCS,2021.0,5,0,0
106,1,0.0,ANZ,Other,TNG Limited,Blue_CCS,2020.0,6,0,0
107,0,0.22314355131420976,ANZ,Unknown,Unknown,PEM,2017.0,9,0,0
108,0,3.713572066704308,ANZ,Unknown,Unknown,PEM,2020.0,3,1,2
109,0,0.4054651081081644,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0
110,0,6.311734809152915,ANZ,Unknown,Unknown,PEM,2021.0,2,1,2
111,0,0.6931471805599453,ANZ,Unknown,Unknown,PEM,2021.0,5,0,0
112,1,0.0,North_America,Other,Valero Energy Corporation,Blue_CCS,2011.0,15,0,0
113,1,0.0,ANZ,Other,"Department of Mines, Industry Regulation and Safety",Blue_CCS,2020.0,6,0,0
114,0,0.8109302162163288,ANZ,Unknown,Unknown,PEM,2016.0,10,0,0
115,0,0.23111172096338664,ANZ,Unknown,Unknown,PEM,2019.0,7,0,0
116,0,0.26236426446749106,ANZ,Unknown,Unknown,PEM,2017.0,9,0,0
117,0,0.8109302162163288,ANZ,Unknown,Unknown,PEM,2018.0,8,0,0
118,1,0.0,North_America,Other,Valero Energy Corporation,Blue_CCS,2011.0,15,0,0
119,0,0.04879016416943201,EU,Unknown,Unknown,PEM,2021.0,5,0,0
120,1,0.0,MENA,Other,Qatar Fertilizer Co SAQ (QAFCO),Blue_CCS,2022.0,4,0,0
121,0,1.2809338454620642,EU,Unknown,Unknown,PEM,2019.0,7,0,0
122,0,2.3978952727983707,EU,Unknown,Unknown,PEM,2021.0,5,0,0
123,0,3.258096538021482,EU,Unknown,Unknown,PEM,2021.0,5,0,0
124,0,1.3862943611198906,EU,Unknown,Unknown,PEM,2019.0,7,0,0
125,0,4.61512051684126,EU,Other,Uniper SE,PEM,2020.0,6,0,0
126,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2017.0,9,0,0
127,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2019.0,7,0,0
128,0,5.081404364984463,EU,Industrial_gas,L'Air Liquide S.A.,PEM,2021.0,5,0,0
129,0,4.51085950651685,EU,Unknown,Unknown,PEM,2021.0,5,0,0
130,0,2.3978952727983707,EU,Industrial_gas,L'Air Liquide S.A.,PEM,2021.0,5,0,0
131,0,1.0986122886681098,EU,Unknown,Unknown,PEM,2020.0,6,0,0
132,0,1.791759469228055,EU,Unknown,Unknown,PEM,2018.0,8,0,0
133,0,1.7047480922384253,EU,Unknown,Unknown,PEM,2009.0,17,0,0
134,1,0.0,EU,Other,Port of Den Helder Authority,Blue_CCS,2019.0,7,0,0
135,1,0.0,EU,Oil_major,Equinor ASA,Blue_CCS,2018.0,4,1,1
136,1,0.0,EU,Other,Dow Chemical Company,Blue_CCS,2021.0,5,0,0
137,1,7.0909098220799835,EU,Other,Port of Rotterdam Authority,Blue_CCS,2019.0,7,0,0
138,0,1.791759469228055,EU,Unknown,Unknown,PEM,2019.0,7,0,0
139,1,1.791759469228055,EU,Other,Port of Antwerp,Blue_CCS,2020.0,3,1,1
140,1,6.90875477931522,EU,Utility,Engie SA,Blue_CCS,2021.0,5,0,0
141,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2021.0,5,0,0
142,0,1.791759469228055,EU,Unknown,Unknown,PEM,2016.0,10,0,0
143,0,1.791759469228055,EU,Unknown,Unknown,PEM,2016.0,10,0,0
144,0,1.0986122886681098,EU,Unknown,Unknown,PEM,2021.0,5,0,0
145,0,2.3978952727983707,EU,Other,OMV Aktiengesellschaft,PEM,2021.0,5,0,0
146,0,2.6004649904222727,EU,Other,unknown,PEM,2020.0,6,0,0
147,0,1.0986122886681098,EU,Unknown,Unknown,PEM,2021.0,5,0,0
148,0,1.9459101490553132,EU,Unknown,Unknown,PEM,2017.0,9,0,0
149,0,1.9459101490553132,EU,Unknown,Unknown,PEM,2010.0,16,0,0
