Publication Date;Index Type;Price EUR/Kg;Delivery Period;Maturity
11-May-2026;Spot;8.819;11-May-2026;Spot
10-May-2026;Spot;5.798;10-May-2026;Spot
09-May-2026;Forward;5.626;June 2026;Month +1
09-May-2026;Forward;5.888;July 2026;Month +2
09-May-2026;Forward;6.353;Q3 2026;Quarter +1
09-May-2026;Forward;7.905;Winter 2026;Season +1
09-May-2026;Forward;5.251;Summer 2027;Season +2
09-May-2026;Forward;6.280;Calendar 2027;Calendar +1
09-May-2026;Forward;5.749;Calendar 2028;Calendar +2
09-May-2026;Forward;5.213;Calendar 2029;Calendar +3
09-May-2026;Spot;5.336;9-May-2026;Spot
09-May-2026;PPA 40;6.224;10-Year Pay-as-Produced;PPA 40
09-May-2026;RED II;5.875;10-Year PPA Pay-as-Produced;RED II
08-May-2026;Forward;5.565;June 2026;Month +1
08-May-2026;Forward;5.813;July 2026;Month +2
08-May-2026;Forward;6.287;Q3 2026;Quarter +1
08-May-2026;Forward;7.891;Winter 2026;Season +1
08-May-2026;Forward;5.246;Summer 2027;Season +2
08-May-2026;Forward;6.279;Calendar 2027;Calendar +1
08-May-2026;Forward;5.744;Calendar 2028;Calendar +2
08-May-2026;Forward;5.202;Calendar 2029;Calendar +3
08-May-2026;Spot;8.315;8-May-2026;Spot
08-May-2026;PPA 40;6.222;10-Year Pay-as-Produced;PPA 40
08-May-2026;RED II;5.878;10-Year PPA Pay-as-Produced;RED II
07-May-2026;Forward;5.578;June 2026;Month +1
07-May-2026;Forward;5.812;July 2026;Month +2
07-May-2026;Forward;6.275;Q3 2026;Quarter +1
07-May-2026;Forward;7.920;Winter 2026;Season +1
07-May-2026;Forward;5.238;Summer 2027;Season +2
07-May-2026;Forward;6.308;Calendar 2027;Calendar +1
07-May-2026;Forward;5.740;Calendar 2028;Calendar +2
07-May-2026;Forward;5.223;Calendar 2029;Calendar +3
07-May-2026;Spot;9.541;7-May-2026;Spot
07-May-2026;PPA 40;6.228;10-Year Pay-as-Produced;PPA 40
07-May-2026;RED II;5.876;10-Year PPA Pay-as-Produced;RED II
06-May-2026;Forward;5.704;June 2026;Month +1
06-May-2026;Forward;5.980;July 2026;Month +2
06-May-2026;Forward;6.502;Q3 2026;Quarter +1
06-May-2026;Forward;8.203;Winter 2026;Season +1
06-May-2026;Forward;5.306;Summer 2027;Season +2
06-May-2026;Forward;6.399;Calendar 2027;Calendar +1
06-May-2026;Forward;5.789;Calendar 2028;Calendar +2
06-May-2026;Forward;5.193;Calendar 2029;Calendar +3
06-May-2026;Spot;8.653;6-May-2026;Spot
06-May-2026;PPA 40;6.223;10-Year Pay-as-Produced;PPA 40
06-May-2026;RED II;5.881;10-Year PPA Pay-as-Produced;RED II
05-May-2026;Forward;5.631;June 2026;Month +1
05-May-2026;Forward;5.912;July 2026;Month +2
05-May-2026;Forward;6.445;Q3 2026;Quarter +1
05-May-2026;Forward;8.204;Winter 2026;Season +1
05-May-2026;Forward;5.339;Summer 2027;Season +2
05-May-2026;Forward;6.379;Calendar 2027;Calendar +1
05-May-2026;Forward;5.765;Calendar 2028;Calendar +2
05-May-2026;Forward;5.126;Calendar 2029;Calendar +3
05-May-2026;Spot;7.472;5-May-2026;Spot
05-May-2026;PPA 40;6.213;10-Year Pay-as-Produced;PPA 40
05-May-2026;RED II;5.864;10-Year PPA Pay-as-Produced;RED II
04-May-2026;Spot;7.035;4-May-2026;Spot
03-May-2026;Spot;5.258;3-May-2026;Spot
02-May-2026;Spot;2.959;2-May-2026;Spot
01-May-2026;Forward;4.955;May 2026;Month +1
01-May-2026;Forward;5.629;June 2026;Month +2
01-May-2026;Forward;6.359;Q3 2026;Quarter +1
01-May-2026;Forward;8.053;Winter 2026;Season +1
01-May-2026;Forward;5.281;Summer 2027;Season +2
01-May-2026;Forward;6.321;Calendar 2027;Calendar +1
01-May-2026;Forward;5.740;Calendar 2028;Calendar +2
01-May-2026;Forward;5.132;Calendar 2029;Calendar +3
01-May-2026;Spot;0.543;1-May-2026;Spot
01-May-2026;PPA 40;6.212;10-Year Pay-as-Produced;PPA 40
01-May-2026;RED II;5.865;10-Year PPA Pay-as-Produced;RED II
30-Apr-2026;Forward;5.027;May 2026;Month +1
30-Apr-2026;Forward;5.660;June 2026;Month +2
30-Apr-2026;Forward;6.404;Q3 2026;Quarter +1
30-Apr-2026;Forward;8.102;Winter 2026;Season +1
30-Apr-2026;Forward;5.299;Summer 2027;Season +2
30-Apr-2026;Forward;6.316;Calendar 2027;Calendar +1
30-Apr-2026;Forward;5.726;Calendar 2028;Calendar +2
30-Apr-2026;Forward;5.128;Calendar 2029;Calendar +3
30-Apr-2026;Spot;5.082;30-Apr-2026;Spot
30-Apr-2026;PPA 40;6.205;10-Year Pay-as-Produced;PPA 40
30-Apr-2026;RED II;5.848;10-Year PPA Pay-as-Produced;RED II
29-Apr-2026;Forward;4.972;May 2026;Month +1
29-Apr-2026;Forward;5.568;June 2026;Month +2
29-Apr-2026;Forward;6.258;Q3 2026;Quarter +1
29-Apr-2026;Forward;7.904;Winter 2026;Season +1
29-Apr-2026;Forward;5.313;Summer 2027;Season +2
29-Apr-2026;Forward;6.294;Calendar 2027;Calendar +1
29-Apr-2026;Forward;5.703;Calendar 2028;Calendar +2
29-Apr-2026;Forward;5.117;Calendar 2029;Calendar +3
29-Apr-2026;Spot;5.309;29-Apr-2026;Spot
29-Apr-2026;PPA 40;6.209;10-Year Pay-as-Produced;PPA 40
29-Apr-2026;RED II;5.850;10-Year PPA Pay-as-Produced;RED II
28-Apr-2026;Forward;5.006;May 2026;Month +1
28-Apr-2026;Forward;5.604;June 2026;Month +2
28-Apr-2026;Forward;6.289;Q3 2026;Quarter +1
28-Apr-2026;Forward;7.968;Winter 2026;Season +1
28-Apr-2026;Forward;5.335;Summer 2027;Season +2
28-Apr-2026;Forward;6.304;Calendar 2027;Calendar +1
28-Apr-2026;Forward;5.672;Calendar 2028;Calendar +2
28-Apr-2026;Forward;5.127;Calendar 2029;Calendar +3
28-Apr-2026;Spot;6.413;28-Apr-2026;Spot
28-Apr-2026;PPA 40;6.210;10-Year Pay-as-Produced;PPA 40
28-Apr-2026;RED II;5.840;10-Year PPA Pay-as-Produced;RED II
27-Apr-2026;Spot;6.599;27-Apr-2026;Spot
26-Apr-2026;Spot;0.761;26-Apr-2026;Spot
25-Apr-2026;Forward;5.203;May 2026;Month +1
25-Apr-2026;Forward;5.711;June 2026;Month +2
25-Apr-2026;Forward;6.363;Q3 2026;Quarter +1
25-Apr-2026;Forward;7.979;Winter 2026;Season +1
25-Apr-2026;Forward;5.384;Summer 2027;Season +2
25-Apr-2026;Forward;6.333;Calendar 2027;Calendar +1
25-Apr-2026;Forward;5.700;Calendar 2028;Calendar +2
25-Apr-2026;Forward;5.146;Calendar 2029;Calendar +3
25-Apr-2026;Spot;0.029;25-Apr-2026;Spot
25-Apr-2026;PPA 40;6.216;10-Year Pay-as-Produced;PPA 40
25-Apr-2026;RED II;5.841;10-Year PPA Pay-as-Produced;RED II
24-Apr-2026;Forward;5.234;May 2026;Month +1
24-Apr-2026;Forward;5.696;June 2026;Month +2
24-Apr-2026;Forward;6.330;Q3 2026;Quarter +1
24-Apr-2026;Forward;7.986;Winter 2026;Season +1
24-Apr-2026;Forward;5.324;Summer 2027;Season +2
24-Apr-2026;Forward;6.317;Calendar 2027;Calendar +1
24-Apr-2026;Forward;5.702;Calendar 2028;Calendar +2
24-Apr-2026;Forward;5.138;Calendar 2029;Calendar +3
24-Apr-2026;Spot;4.991;24-Apr-2026;Spot
24-Apr-2026;PPA 40;6.214;10-Year Pay-as-Produced;PPA 40
24-Apr-2026;RED II;5.854;10-Year PPA Pay-as-Produced;RED II
23-Apr-2026;Forward;5.158;May 2026;Month +1
23-Apr-2026;Forward;5.661;June 2026;Month +2
23-Apr-2026;Forward;6.285;Q3 2026;Quarter +1
23-Apr-2026;Forward;7.978;Winter 2026;Season +1
23-Apr-2026;Forward;5.246;Summer 2027;Season +2
23-Apr-2026;Forward;6.259;Calendar 2027;Calendar +1
23-Apr-2026;Forward;5.635;Calendar 2028;Calendar +2
23-Apr-2026;Forward;5.123;Calendar 2029;Calendar +3
23-Apr-2026;Spot;4.546;23-Apr-2026;Spot
23-Apr-2026;PPA 40;6.187;10-Year Pay-as-Produced;PPA 40
23-Apr-2026;RED II;5.846;10-Year PPA Pay-as-Produced;RED II
22-Apr-2026;Forward;5.166;May 2026;Month +1
22-Apr-2026;Forward;5.633;June 2026;Month +2
22-Apr-2026;Forward;6.254;Q3 2026;Quarter +1
22-Apr-2026;Forward;7.868;Winter 2026;Season +1
22-Apr-2026;Forward;5.219;Summer 2027;Season +2
22-Apr-2026;Forward;6.195;Calendar 2027;Calendar +1
22-Apr-2026;Forward;5.601;Calendar 2028;Calendar +2
22-Apr-2026;Forward;5.116;Calendar 2029;Calendar +3
22-Apr-2026;Spot;5.623;22-Apr-2026;Spot
22-Apr-2026;PPA 40;6.194;10-Year Pay-as-Produced;PPA 40
22-Apr-2026;RED II;5.838;10-Year PPA Pay-as-Produced;RED II
21-Apr-2026;Forward;5.050;May 2026;Month +1
21-Apr-2026;Forward;5.578;June 2026;Month +2
21-Apr-2026;Forward;6.167;Q3 2026;Quarter +1
21-Apr-2026;Forward;7.762;Winter 2026;Season +1
21-Apr-2026;Forward;5.174;Summer 2027;Season +2
21-Apr-2026;Forward;6.114;Calendar 2027;Calendar +1
21-Apr-2026;Forward;5.578;Calendar 2028;Calendar +2
21-Apr-2026;Forward;5.096;Calendar 2029;Calendar +3
21-Apr-2026;Spot;7.165;21-Apr-2026;Spot
21-Apr-2026;PPA 40;6.172;10-Year Pay-as-Produced;PPA 40
21-Apr-2026;RED II;5.834;10-Year PPA Pay-as-Produced;RED II
20-Apr-2026;Spot;7.190;20-Apr-2026;Spot
19-Apr-2026;Spot;6.064;19-Apr-2026;Spot
18-Apr-2026;Forward;5.061;May 2026;Month +1
18-Apr-2026;Forward;5.542;June 2026;Month +2
18-Apr-2026;Forward;6.124;Q3 2026;Quarter +1
18-Apr-2026;Forward;7.693;Winter 2026;Season +1
18-Apr-2026;Forward;5.129;Summer 2027;Season +2
18-Apr-2026;Forward;6.060;Calendar 2027;Calendar +1
18-Apr-2026;Forward;5.563;Calendar 2028;Calendar +2
18-Apr-2026;Forward;5.095;Calendar 2029;Calendar +3
18-Apr-2026;Spot;4.416;18-Apr-2026;Spot
18-Apr-2026;PPA 40;6.176;10-Year Pay-as-Produced;PPA 40
18-Apr-2026;RED II;5.832;10-Year PPA Pay-as-Produced;RED II
17-Apr-2026;Forward;5.161;May 2026;Month +1
17-Apr-2026;Forward;5.564;June 2026;Month +2
17-Apr-2026;Forward;6.206;Q3 2026;Quarter +1
17-Apr-2026;Forward;7.878;Winter 2026;Season +1
17-Apr-2026;Forward;5.228;Summer 2027;Season +2
17-Apr-2026;Forward;6.168;Calendar 2027;Calendar +1
17-Apr-2026;Forward;5.570;Calendar 2028;Calendar +2
17-Apr-2026;Forward;5.100;Calendar 2029;Calendar +3
17-Apr-2026;Spot;6.836;17-Apr-2026;Spot
17-Apr-2026;PPA 40;6.196;10-Year Pay-as-Produced;PPA 40
17-Apr-2026;RED II;5.833;10-Year PPA Pay-as-Produced;RED II
16-Apr-2026;Forward;5.067;May 2026;Month +1
16-Apr-2026;Forward;5.522;June 2026;Month +2
16-Apr-2026;Forward;6.136;Q3 2026;Quarter +1
16-Apr-2026;Forward;7.712;Winter 2026;Season +1
16-Apr-2026;Forward;5.138;Summer 2027;Season +2
16-Apr-2026;Forward;6.059;Calendar 2027;Calendar +1
16-Apr-2026;Forward;5.542;Calendar 2028;Calendar +2
16-Apr-2026;Forward;5.105;Calendar 2029;Calendar +3
16-Apr-2026;Spot;7.909;16-Apr-2026;Spot
16-Apr-2026;PPA 40;6.187;10-Year Pay-as-Produced;PPA 40
16-Apr-2026;RED II;5.828;10-Year PPA Pay-as-Produced;RED II
15-Apr-2026;Forward;5.139;May 2026;Month +1
15-Apr-2026;Forward;5.587;June 2026;Month +2
15-Apr-2026;Forward;6.210;Q3 2026;Quarter +1
15-Apr-2026;Forward;7.894;Winter 2026;Season +1
15-Apr-2026;Forward;5.171;Summer 2027;Season +2
15-Apr-2026;Forward;6.138;Calendar 2027;Calendar +1
15-Apr-2026;Forward;5.512;Calendar 2028;Calendar +2
