interaction,z,macro_level_approx,macro_unit,blue_logHR,blue_HR,HR_CI_lower,HR_CI_upper,interaction_coef,interaction_p
EUA Carbon Price,-1.5,17.5,€/tCO2,7.786991064285789,2409.0579652626075,637.630919571184,9101.754795545654,-2.507224651665662,1.104848482697193e-24
EUA Carbon Price,-1.0,30.0,€/tCO2,6.533378738452958,687.7179094040517,219.38792971675693,2155.7973746581874,-2.507224651665662,1.104848482697193e-24
EUA Carbon Price,-0.5,42.5,€/tCO2,5.279766412620127,196.32401118398286,73.74638454117058,522.6441622484024,-2.507224651665662,1.104848482697193e-24
EUA Carbon Price,0.0,55.0,€/tCO2,4.026154086787296,56.04495221124678,23.894092412459937,131.4566217515336,-2.507224651665662,1.104848482697193e-24
EUA Carbon Price,0.5,67.5,€/tCO2,2.7725417609544643,15.999248637077551,7.328214361240252,34.9301950424531,-2.507224651665662,1.104848482697193e-24
EUA Carbon Price,1.0,80.0,€/tCO2,1.5189294351216334,4.567332950632085,2.0951557358919533,9.956553550921987,-2.507224651665662,1.104848482697193e-24
EUA Carbon Price,1.5,92.5,€/tCO2,0.2653171092888025,1.303844371390431,0.5581903406442787,3.045574279992573,-2.507224651665662,1.104848482697193e-24
TTF Gas Price,-1.5,-10.0,€/MWh,3.5875435101095228,36.145176520222776,6.774376627591713,192.85520388058413,-0.6702439027228468,0.3152274308184132
TTF Gas Price,-1.0,5.0,€/MWh,3.2524215587480994,25.85286841809987,8.516701296519278,78.47766196951684,-0.6702439027228468,0.3152274308184132
TTF Gas Price,-0.5,20.0,€/MWh,2.917299607386676,18.4912862458879,9.004309284297369,37.97378080111612,-0.6702439027228468,0.3152274308184132
TTF Gas Price,0.0,35.0,€/MWh,2.5821776560252525,13.225908301454696,5.876235696652566,29.768147403980947,-0.6702439027228468,0.3152274308184132
TTF Gas Price,0.5,50.0,€/MWh,2.247055704663829,9.459842223652132,2.6142991911693576,34.23044125885381,-0.6702439027228468,0.3152274308184132
TTF Gas Price,1.0,65.0,€/MWh,1.9119337533024057,6.7661602406958306,1.0405060204374457,43.99871168792086,-0.6702439027228468,0.3152274308184132
TTF Gas Price,1.5,80.0,€/MWh,1.5768118019409822,4.839501898700649,0.40028623055465595,58.51007813852159,-0.6702439027228468,0.3152274308184132
VIX (Financial Uncertainty),-1.5,8.0,index,2.4681229635923727,11.800276502264397,4.263425540872091,32.66071476914082,0.2458268944466988,0.5689875489193461
VIX (Financial Uncertainty),-1.0,12.0,index,2.591036410815722,13.34359388419993,6.4324254944854085,27.680304715399078,0.2458268944466988,0.5689875489193461
VIX (Financial Uncertainty),-0.5,16.0,index,2.7139498580390713,15.088756412808706,8.104547825358926,28.091705421578283,0.2458268944466988,0.5689875489193461
VIX (Financial Uncertainty),0.0,20.0,index,2.836863305262421,17.062162717246608,7.874019970653872,36.971889539876955,0.2458268944466988,0.5689875489193461
VIX (Financial Uncertainty),0.5,24.0,index,2.9597767524857703,19.293664012143058,6.548660800493922,56.842991621338555,0.2458268944466988,0.5689875489193461
VIX (Financial Uncertainty),1.0,28.0,index,3.08269019970912,21.817015649322972,5.1310919715492185,92.76430328710151,0.2458268944466988,0.5689875489193461
VIX (Financial Uncertainty),1.5,32.0,index,3.205603646932469,24.670387726417815,3.9239571357647045,155.10567763966586,0.2458268944466988,0.5689875489193461
EPU (Policy Uncertainty),-1.5,55.0,index,2.8108250077155184,16.62362718369467,8.292962016652774,33.322832081897246,0.0058070909054734,0.9859690353496756
EPU (Policy Uncertainty),-1.0,80.0,index,2.813728553168255,16.67196478205936,9.82061873738007,28.303146382849995,0.0058070909054734,0.9859690353496756
EPU (Policy Uncertainty),-0.5,105.0,index,2.8166320986209916,16.72044293479223,9.794403637703429,28.544179133013262,0.0058070909054734,0.9859690353496756
EPU (Policy Uncertainty),0.0,130.0,index,2.8195356440737283,16.76906205059233,8.260081887092614,34.04342062226131,0.0058070909054734,0.9859690353496756
EPU (Policy Uncertainty),0.5,155.0,index,2.822439189526465,16.8178225393471,6.423964174418258,44.02875658791867,0.0058070909054734,0.9859690353496756
EPU (Policy Uncertainty),1.0,180.0,index,2.8253427349792015,16.866724812135857,4.83631484073825,58.82297064119448,0.0058070909054734,0.9859690353496756
EPU (Policy Uncertainty),1.5,205.0,index,2.828246280431938,16.91576928123322,3.588405861799225,79.7410497575214,0.0058070909054734,0.9859690353496756
