Project name,Country or economy,region,Project status,year_announced,year_event,year_operation,capture_mtco2,sponsor_type,event_type
Aukra Hydrogen Hub,Norway,Other_Europe,Cancelled,2021.0,2024.0,2030.0,,Oil_major,1
DelpHYnus hydrogen production Theddlethorpe,United Kingdom,Other_Europe,Cancelled,2021.0,2023.0,2027.0,5.0,Oil_major,1
BP H2Teesside Phase 1,United Kingdom,Other_Europe,Cancelled,2021.0,2025.0,2027.0,1.0,Oil_major,1
BP H2Teesside Phase 2,United Kingdom,Other_Europe,Cancelled,2021.0,2025.0,2030.0,1.0,Oil_major,1
Hydrogen 2 Magnum (H2M),Netherlands,EU,Cancelled,2017.0,2025.0,2029.0,1.3,Oil_major,1
Hydrogen Energy Supply Chain (HESC) Project Full scale (CarbonNET),Australia,ANZ,Cancelled,2018.0,2025.0,2030.0,1.8,Oil_major,1
Itochu/Petronas ammonia project (ALB),Canada,North_America,Cancelled,2021.0,2024.0,2027.0,,Other,1
PCS Nitrogen Geismar Ammonia plant (LA),United States,North_America,Cancelled,2022.0,2023.0,2027.0,1.2,Oil_major,1
Project Cavendish Phase 1,United Kingdom,Other_Europe,Cancelled,2021.0,2023.0,2026.0,1.2,Other,1
Project Cavendish Phase 2,United Kingdom,Other_Europe,Cancelled,2021.0,2023.0,2026.0,1.8,Other,1
HyDEMO (shelved??),Norway,Other_Europe,Cancelled,2020.0,2022.0,,0.15,Oil_major,1
Yara Pilbara ammonia,Australia,ANZ,Cancelled,2021.0,2025.0,,,Industrial_chem,1
Yara-BASF Gulf Coast,United States,North_America,Cancelled,2023.0,2025.0,2028.0,,Industrial_chem,1
Whiting Refinery,United States,North_America,Suspended,2023.0,2025.0,,,Oil_major,2
Ammonia Houston Ship Channel (TX),United States,North_America,Cancelled,2023.0,2025.0,,1.6,Industrial_gas,1
H2M Eemshaven,Netherlands,EU,Cancelled,2024.0,2025.0,2030.0,,Oil_major,1
Greenview Industrial Gateway  blue ammonia and methanol (ALB),Canada,North_America,Cancelled,2021.0,2026.0,,,Other,1
