project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,year_announced,duration,event_any,event_type
0,1,0.0,North_America,Other,2022.0,4.0,0,0
1,1,0.33647223662121295,Other_Europe,Other,2018.0,8.0,0,0
2,1,1.3862943611198906,North_America,Industrial_gas,2021.0,5.0,0,0
3,1,1.791759469228055,North_America,Industrial_gas,2021.0,5.0,0,0
4,1,0.0,Other_Europe,Oil_major,2021.0,3.0,1,1
5,1,1.0438040521731147,Other_Europe,Other,2021.0,5.0,0,0
6,1,1.0438040521731147,Other_Europe,Other,2021.0,5.0,0,0
7,1,1.0438040521731147,Other_Europe,Other,2021.0,5.0,0,0
8,1,1.0986122886681098,Asia,Industrial_gas,2021.0,5.0,0,0
9,1,1.1939224684724346,North_America,Other,2022.0,4.0,0,0
10,1,0.0,North_America,Other,2021.0,5.0,0,0
11,1,0.0,Asia,Other,2022.0,4.0,0,0
12,1,1.791759469228055,Other_Europe,Oil_major,2021.0,2.0,1,1
13,1,1.2237754316221157,North_America,Oil_major,2021.0,5.0,0,0
14,1,0.0,North_America,Industrial_chem,2022.0,4.0,0,0
15,1,1.252762968495368,EU,Other,2021.0,5.0,0,0
16,1,0.9162907318741551,Other_Europe,Other,2014.0,12.0,0,0
17,1,0.9932517730102833,EU,Oil_major,2021.0,5.0,0,0
18,1,0.0,Other_Europe,Other,2021.0,5.0,0,0
19,1,0.0,Other_Europe,Other,2021.0,5.0,0,0
20,1,0.0,ANZ,Other,2021.0,5.0,0,0
21,1,0.6931471805599453,Other_Europe,Oil_major,2021.0,4.0,1,1
22,1,0.6931471805599453,Other_Europe,Oil_major,2021.0,4.0,1,1
23,1,0.832909122935104,EU,Oil_major,2017.0,8.0,1,1
24,1,1.0296194171811583,ANZ,Oil_major,2018.0,7.0,1,1
25,1,0.636576829071551,Other_Europe,Oil_major,2020.0,6.0,0,0
26,1,0.0,North_America,Other,2021.0,3.0,1,1
27,1,0.0,North_America,Other,2021.0,5.0,0,0
28,1,0.33647223662121295,North_America,Other,2022.0,4.0,0,0
29,1,0.8899467565345531,North_America,Oil_major,2021.0,5.0,0,0
30,1,0.0,ANZ,Other,2021.0,5.0,0,0
31,1,0.6931471805599453,ANZ,Other,2021.0,5.0,0,0
32,1,0.1310282624064041,North_America,Other,2021.0,5.0,0,0
33,1,0.7884573603642702,North_America,Oil_major,2022.0,1.0,1,1
34,1,0.7884573603642702,Other_Europe,Other,2021.0,2.0,1,1
35,1,1.0296194171811583,Other_Europe,Other,2021.0,2.0,1,1
36,1,0.0,North_America,Other,2022.0,4.0,0,0
37,1,0.6931471805599453,ANZ,Other,2018.0,8.0,0,0
38,1,0.0,Other,Other,2021.0,5.0,0,0
39,1,0.6931471805599453,North_America,Oil_major,2009.0,6.0,0,0
40,1,0.9555114450274363,Other_Europe,Other,2022.0,4.0,0,0
41,1,0.0,ANZ,Other,2023.0,3.0,0,0
42,1,0.5007752879124893,Other_Europe,Other,2019.0,7.0,0,0
43,1,0.0,Other,Other,2020.0,6.0,0,0
44,1,0.832909122935104,EU,Other,2022.0,4.0,0,0
45,1,2.2082744135228043,Other_Europe,Other,2019.0,7.0,0,0
46,1,0.13976194237515868,Other_Europe,Oil_major,2020.0,2.0,1,1
47,1,1.0986122886681098,EU,Oil_major,2022.0,4.0,0,0
48,1,0.0,ANZ,Other,2021.0,5.0,0,0
49,1,1.5644405465033646,North_America,Oil_major,2022.0,4.0,0,0
50,1,0.0,Other_Europe,Oil_major,2022.0,4.0,0,0
51,1,0.0,Other,Industrial_gas,2022.0,4.0,0,0
52,1,0.09531017980432487,North_America,Other,2022.0,4.0,0,0
53,1,0.0,North_America,Other,2022.0,4.0,0,0
54,1,0.0,North_America,Utility,2023.0,3.0,0,0
55,1,0.0,North_America,Utility,2023.0,3.0,0,0
56,1,0.0,MENA,Other,2023.0,3.0,0,0
57,1,0.8590852581033759,North_America,Other,2020.0,6.0,0,0
58,1,0.9783261227936076,North_America,Other,2021.0,5.0,0,0
