prior,coef,mean,median,sd,ci_lo,ci_hi,rhat,ess
vague,beta_blue,2.655342694525108,2.6059658460787323,0.5688172693959314,1.607584023952791,3.8020198398003684,1.0,531.0
vague,beta_eua,1.8423186292591684,1.8018159135316494,0.6666105262378555,0.6370903784448312,3.2623668811859154,1.01,503.0
vague,beta_int,-1.7792259369130339,-1.7458581902242853,0.7022840788068541,-3.2864277644741873,-0.492766828720482,1.01,539.0
weakly_informative,beta_blue,2.393965167026954,2.387217350484865,0.4774617284602572,1.4961696256144605,3.385508073626554,1.0,602.0
weakly_informative,beta_eua,1.518449344483125,1.4858172155940235,0.5343791792159053,0.5799456611103041,2.624477765135196,1.0,707.0
weakly_informative,beta_int,-1.4424857828658737,-1.4328063761244476,0.5730628830251369,-2.5908817258559753,-0.3739177639158165,1.0,710.0
skeptical,beta_blue,2.1331186947383696,2.1233651989680506,0.42584398750617247,1.3266408320940795,3.0007760861440747,1.0,1038.0
skeptical,beta_eua,1.1877051094330353,1.1561042850815455,0.44234005195413545,0.397427499137834,2.151496613941355,1.0,880.0
skeptical,beta_int,-1.0612917360597016,-1.0567985626911665,0.4822222258890631,-2.0449319325742747,-0.13258816522205327,1.01,896.0
informative_v7,beta_blue,2.774709857309055,2.7685097845251345,0.45093577225147724,1.9345567530413594,3.7497824230569434,1.01,900.0
informative_v7,beta_eua,2.1333386784767088,2.13891510303026,0.42430010654830125,1.3280961175437844,2.969966865879457,1.01,833.0
informative_v7,beta_int,-2.1482464586673355,-2.1636437899050476,0.4139818229774597,-2.955632869003395,-1.3372922775112552,1.01,876.0
