year,median,mean,sd,lo_95,hi_95,lo_80,hi_80
2010,-0.4571003870295114,-0.39641933706152466,1.129874810056791,-2.448548407962108,2.0932724255527595,-1.7757794961608504,1.061890386751398
2011,-0.706936426793033,-0.6756083663650977,0.8488626950595671,-2.288005318749906,1.104443469241019,-1.7268721095023036,0.4390243210103625
2012,-0.8848649440891103,-0.8705396910393496,0.6849980045923567,-2.1787238447036734,0.5432802799110076,-1.7198523496585039,0.01222253027019148
2013,-1.0074172890227642,-1.0106034282834802,0.5890935167354266,-2.153730059415651,0.2068733355964606,-1.7703305875098871,-0.28497290213184956
2014,-1.0971963140287158,-1.1126105692844965,0.5342510911622448,-2.1511041170006715,-0.041050838485688655,-1.8131832258993135,-0.44055137797723914
2015,-1.1665166779548697,-1.1874330198702632,0.5046508295140179,-2.1883741581493346,-0.20563600047158226,-1.8510723239483688,-0.5542207964650245
2016,-1.2241996096150336,-1.2426629657095,0.49033215006690584,-2.215162193494388,-0.2985380811712423,-1.8874934753719568,-0.6335007198364035
2017,-1.2690372101041363,-1.2851941463412928,0.4849525602405222,-2.2461031247172,-0.38633759912295546,-1.92517717025528,-0.6816602887159067
2018,-1.3058929895848177,-1.3174077291408455,0.4847218545044493,-2.2565778421193876,-0.41103324629883353,-1.9538238088438575,-0.7122848982062596
2019,-1.5413721666956577,-1.5653656607994453,0.4934704102093475,-2.6014950807969566,-0.6753022228614465,-2.211770555092173,-0.9511407622270729
2020,-1.4990245604824965,-1.5152760802717062,0.47625516449724786,-2.4812338849329945,-0.6334640829659394,-2.14439560954025,-0.9171887751799184
2021,-1.548166490645013,-1.5642926210731978,0.4787215939179396,-2.54297298199042,-0.6719759732596254,-2.1893421377943225,-0.9631177021018889
2022,-1.4966329062851078,-1.5136805139653042,0.48136518935798794,-2.4844562399933516,-0.6121820035334518,-2.1440407598837097,-0.9159417158422045
2023,-1.574329866602434,-1.580122740501258,0.48923660352570886,-2.5878952287065506,-0.6670667695331949,-2.2105505565283514,-0.9778502211314796
2024,-1.4127694229387036,-1.4234612278764163,0.49907053521051076,-2.4177675876554687,-0.49522255698680223,-2.067379492861906,-0.7943669302232241
2025,-1.351248841429403,-1.3666595481096149,0.5227337387224102,-2.3933824432224715,-0.36657384088746353,-2.034912516522264,-0.714057472672811
2026,-1.488748384427566,-1.5004556772297073,0.505328742554644,-2.5060553549915126,-0.5460131876119588,-2.143491115474057,-0.8661413930811833
