year,median,lo95,hi95
2010,0.38744128479824136,-1.74726487523667,2.7106515259936574
2011,-0.041374628653069935,-1.7629477274805447,1.83073154805765
2012,-0.3395361968797768,-1.8019330146829882,1.2193577129245825
2013,-0.5639417362497797,-1.9045041518529295,0.8007052533782651
2014,-0.7349867896524798,-2.0230959791123704,0.5222202370364764
2015,-0.857752385165071,-2.1214050338899986,0.3205301399475394
2016,-0.9595329886370502,-2.2011419589091963,0.19240431390261253
2017,-1.0383108463444075,-2.284693307415524,0.11204944754797341
2018,-1.0950174309698444,-2.335563532317635,0.06371034342303267
2019,-1.6794468112565188,-3.1231478617849113,-0.5146264830427655
2020,-1.5821724531399943,-2.839793945725653,-0.49950294951616153
2021,-1.6621058675572236,-2.894470854089704,-0.568279141904984
2022,-1.6432030759941032,-2.8653383605260867,-0.5437787191573082
2023,-1.7584165726224086,-3.0016523080082,-0.617301836403847
2024,-1.8665380299965566,-3.1381738233243226,-0.68249233966733
2025,-1.502729397655509,-2.7562678615398744,-0.22931758612036682
2026,-1.6240930194707914,-2.873910050306437,-0.4189472451932709
