ticker,group,name,AR_up_mean_%,AR_up_t,AR_down_mean_%,AR_down_t,AR_diff_%,beta_market
NEL.OL,GREEN,Nel ASA,0.5511697515974084,1.0577021285194872,-0.696511775656141,-0.9888310148876064,1.2476815272535493,0.6911254634287451
ITM.L,GREEN,ITM Power,-0.5822664169827199,-0.7942234157530716,-0.5366252952484077,-0.7832446728565806,-0.04564112173431212,0.8815410790163473
BLDP,GREEN,Ballard Power,-0.3691475989846962,-0.6665566367280404,0.1925758716051351,0.30999452917547243,-0.5617234705898313,1.7537721136365936
BE,GREEN,Bloom Energy,-0.5074225729803796,-0.9272320017423816,0.6542401850844471,1.1910173716567534,-1.1616627580648267,1.970224910515978
PLUG,GREEN,Plug Power,-1.293032656790813,-2.1948006526800308,0.05886824866016838,0.09396261009401556,-1.3519009054509814,2.0453841659284877
LIN,INDGAS,Linde plc,0.20076773998593972,0.8260397458497803,-0.23448132516888112,-1.187168684412367,0.43524906515482087,0.759946271330506
AI.PA,INDGAS,Air Liquide,0.18136057257184546,0.7846974998514691,-0.06473028486300227,-0.2519058368072668,0.2460908574348477,0.2571294954236219
APD,INDGAS,Air Products,0.2241145115973806,1.3099388525750304,0.051112315574793746,0.365343077415461,0.17300219602258687,0.7518790453442223
EQNR,OIL,Equinor ASA,0.5552855779073774,2.594951914515643,-0.7736143794303781,-1.926898245851022,1.3288999573377556,0.4734634284915823
BP,OIL,BP plc,0.3756694330898426,1.2976788869016822,-0.783321334777512,-1.9661844838103564,1.1589907678673546,0.6286755323093072
TTE,OIL,TotalEnergies,0.27768089768157567,1.5536239356238197,-0.7839671047746138,-2.327759084471508,1.0616480024561894,0.5472850918375
SHEL,OIL,Shell plc,0.35148618860728276,1.3989879498604416,-0.6047870735880982,-1.5999417604360364,0.956273262195381,0.5684422341826602
CVX,OIL,Chevron,0.3018283454170376,1.1926246907576101,-0.15783681082747633,-0.5392663364010061,0.459665156244514,0.6030650717151063
XOM,OIL,Exxon Mobil,0.09330793231269999,0.3856642279424797,-0.31296998068411225,-0.9615295167417949,0.40627791299681226,0.5326169584879703
