treatment,exposure,beta_DiD,se,p,ci_lo,ci_hi,is_placebo,sig_05,n_obs
regulation_apr2023,Blue (T3),-1.5052990508630162,1.1540141404119104,0.1920963475001476,-3.7671667660703605,0.7565686643443283,False,False,3743
regulation_apr2023,EU region (T2),1.119013576241888,0.9279341553396696,0.2278486625248617,-0.6997373682238643,2.93776452070764,False,False,3743
regulation_apr2023,Major sponsor (T1),-0.15088961924781075,1.319781702304797,0.9089768161536267,-2.7376617557652128,2.4358825172695915,False,False,3743
transitional_oct2023,Blue (T3),0.4320106337332992,0.6679214414596949,0.5177623174869641,-0.8771153915277028,1.7411366589943011,False,False,3743
transitional_oct2023,EU region (T2),-0.668854477289802,0.6851978781557012,0.32899117183381066,-2.0118423184749763,0.6741333638953724,False,False,3743
transitional_oct2023,Major sponsor (T1),-0.18543045062586522,1.1498322690698342,0.8718828049241636,-2.43910169800274,2.0682407967510095,False,False,3743
definitive_jan2026,EU region (T2),19.06125419241919,1.0539969128061626,4.203885202609211e-73,16.995420243319113,21.12708814151927,False,True,3743
definitive_jan2026,Major sponsor (T1),-17.74979159015131,1.0875494593387445,7.008860481490137e-60,-19.88138853045525,-15.618194649847371,False,True,3743
PLACEBO_2020,Blue (T3),-19.301186344788725,11.394230559668275,0.09027596064556907,-41.63387824173854,3.031505552161093,True,False,3743
PLACEBO_2020,EU region (T2),21.82404504741322,39.75069333931678,0.5829896634518582,-56.087313897647675,99.73540399247412,True,False,3743
PLACEBO_2020,Major sponsor (T1),1739.2603415730403,0.7086205260364923,0.0,1737.8714453420087,1740.6492378040718,True,True,3743
PLACEBO_2022,Blue (T3),-24.00353218442209,0.5887984479112264,0.0,-25.157577142328094,-22.84948722651609,True,True,3743
PLACEBO_2022,EU region (T2),22.547975052148782,99.5115736104956,0.8207453229364412,-172.4947092244226,217.59065932872016,True,False,3743
