q,beta,se,ci_lo,ci_hi
-18,6.618401645571463,1.5860041333977735,3.5098335441118276,9.726969747031099
-15,-0.21749006778684776,0.6279045438206551,-1.4481829736753316,1.0132028381016362
-12,-0.20412477104020374,0.6279045438450589,-1.434817676976519,1.0265681348961118
-9,-0.1979456468230411,0.6279045438857668,-1.428638552839144,1.0327472591930618
-6,4.756477004316811,0.7079591785720886,3.3688770143155176,6.144076994318105
0,-0.2025225045297781,0.5528980269465675,-1.2862026373450504,0.8811576282854943
3,-0.18426347068376842,0.5528980269583339,-1.267943603522103,0.8994166621545661
6,4.656206181051032,1.1465118641769212,2.4090429272642666,6.903369434837797
9,-0.1644705798793922,0.5526360589034169,-1.2476372553300894,0.918696095571305
12,-0.1525512172788448,0.5526360589205082,-1.2357178927630408,0.9306154582053512
15,-0.14400815983286364,0.5526360589369957,-1.2271748353493752,0.939158515683648
18,-0.4976239819997108,1.1801253191646917,-2.8106696075625064,1.8154216435630848
21,-0.15109164533324332,0.5651745219132099,-1.258833708283135,0.9566504176166482
24,-0.1410349093703774,0.5651745219255161,-1.248776972344389,0.9667071536036341
27,-0.13367528709527007,0.5651745219441621,-1.2414173501058277,0.9740667759152876
30,-0.06358645445349112,0.5651745223990169,-1.1713285183555642,1.0441556094485818
