,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-1.5943363609963028,0.22193483177712553,-7.183804129481529,6.779797693024502e-13,-2.029320638194424,-1.1593520837981812
region_EU27,0.021296780756522207,0.25832712032116095,0.08244113405532232,0.9342959271109037,-0.48501507130289845,0.5276086328159428
T1_narrow,-1.9763679439788233,0.6684109288068218,-2.956815723385659,0.003108338238911728,-3.2864292913131603,-0.6663065966444863
post,-0.6788414684377635,0.27697191738690796,-2.4509397011881005,0.014248381989125489,-1.2216964512451063,-0.1359864856304207
EU_CBAM,1.9468163360981066,0.8377723395531905,2.3238011619438317,0.020136153443857833,0.3048127233299922,3.588819948866221
EU_post,-0.09164711412448182,0.5334151179582272,-0.17181199227214045,0.8635853372560558,-1.1371215341317917,0.953827305882828
CBAM_post,0.45660250948199144,1.0199216691734314,0.4476838989527822,0.654381343427177,-1.54240722914991,2.455612248113893
EU_CBAM_post,1.1526950034497137,1.3411927953323648,0.8594551114957795,0.39008947530413196,-1.4759945717263212,3.7813845786257483
is_blue,0.8047321644992002,0.32663506101143647,2.463704178012366,0.01375095507571018,0.1645392088287415,1.4449251201696587
log_capacity,0.13719684635606724,0.033069860608275735,4.148697449354646,3.343723759570249e-05,0.07238111059008696,0.20201258212204753
