Record ID,project_status,Year announced,year_announced,tech_class,is_blue,Region major,region_EU27,Primary end use sector,T1_narrow,T2_broad,T3_strict,export_to_eu,log_capacity,cancel_A,cancel_B,cancel_C,cancel_D,operating
CETPROJH2999,Design,2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,8.733916174927524,0,0,0,0,0
CETPROJH2998,On-hold (assumed),2020.0,2020,Green,0,Europe (EU-27),1,Unknown,0,1,0,0,6.816735880594968,0,0,0,1,0
CETPROJH2997,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,0.0,0,0,0,1,0
CETPROJH2996,Design,2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,9.039789270781144,0,0,0,0,0
CETPROJH2995,Feasibility,2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,5.860786223465865,0,0,0,0,0
CETPROJH2994,Fully commissioned,2020.0,2020,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,3.044522437723423,0,0,0,0,1
CETPROJH2993,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,0.0,0,0,0,1,0
CETPROJH2992,Permitted,2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,4.07753744390572,0,0,0,0,0
CETPROJH2991,Design,2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,3.4339872044851463,0,0,0,0,0
CETPROJH2990,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Unknown,0,1,0,0,0.0,0,0,0,1,0
CETPROJH299,On-hold (assumed),2021.0,2021,Green,0,North America,0,Power & heat,0,0,0,0,0.0,0,0,0,1,0
CETPROJH2989,Permitted,2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,9.466222131878165,0,0,0,0,0
CETPROJH2988,Fully commissioned,2017.0,2017,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,0.6931471805599453,0,0,0,0,1
CETPROJH2987,Permitted,2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,6.054439346269371,0,0,0,0,0
CETPROJH2986,On-hold (assumed),2022.0,2022,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,3.044522437723423,0,0,0,1,0
CETPROJH2985,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,6.364750756851911,0,0,0,1,0
CETPROJH2984,Fully commissioned,2020.0,2020,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,4.330733340286331,0,0,0,0,1
CETPROJH2983,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,6.230481447578482,0,0,0,1,0
CETPROJH2981,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,7.05617528410041,0,0,0,1,0
CETPROJH2980,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Transport (other),0,1,0,0,5.860786223465865,0,0,0,1,0
CETPROJH298,Fully commissioned,2014.0,2014,Green,0,North America,0,Power & heat,0,0,0,0,1.9459101490553132,0,0,0,0,1
CETPROJH2979,Announced (advanced),2021.0,2021,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,9.204422898212146,0,0,0,0,0
CETPROJH2978,Feasibility,2022.0,2022,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,7.939871576361883,0,0,0,0,0
CETPROJH2977,Design,2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,9.528866827722945,0,0,0,0,0
CETPROJH2976,On-hold (assumed),2020.0,2020,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,8.328692583545568,0,0,0,1,0
CETPROJH2974,Permitted,2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,8.65817178467581,0,0,0,0,0
CETPROJH2973,On-hold (assumed),2022.0,2022,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,11.911862645782104,0,0,0,1,0
CETPROJH2972,Permitted,2022.0,2022,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,10.827766295132466,0,0,0,0,0
CETPROJH2971,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,5.673323267171493,0,0,0,1,0
CETPROJH2970,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,6.901737206656574,0,0,0,1,0
CETPROJH297,On-hold (assumed),2021.0,2021,Green,0,North America,0,Gas grid,0,0,0,0,2.8903717578961645,0,0,0,1,0
CETPROJH2969,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,5.805134968916488,0,0,0,1,0
CETPROJH2968,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,6.720220155135295,0,0,0,1,0
CETPROJH2967,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,5.117993812416755,0,0,0,1,0
CETPROJH2966,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,7.189922170745808,0,0,0,1,0
CETPROJH2965,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,6.169610732491456,0,0,0,1,0
CETPROJH2964,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,5.117993812416755,0,0,0,1,0
CETPROJH2962,Decommissioned,2015.0,2015,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,1.0986122886681098,0,1,1,0,0
CETPROJH296,On-hold (assumed),2021.0,2021,Green,0,North America,0,Power & heat,0,0,0,0,0.0,0,0,0,1,0
CETPROJH2955,Decommissioned,2011.0,2011,Green,0,Europe (EU-27),1,Gas grid,0,1,0,0,0.6931471805599453,0,1,1,0,0
CETPROJH2953,Fully commissioned,2021.0,2021,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,4.812184355372417,0,0,0,0,1
CETPROJH2952,Financed,2021.0,2021,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,8.566173813637858,0,0,0,0,0
CETPROJH2951,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,10.274292200380668,0,0,0,1,0
CETPROJH2950,On-hold (confirmed),2022.0,2022,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,11.320565693461432,0,0,1,1,0
CETPROJH295,On-hold (assumed),2021.0,2021,Green,0,North America,0,Industry (other),0,0,0,0,0.0,0,0,0,1,0
CETPROJH2949,On-hold (confirmed),2022.0,2022,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,10.53212287826962,0,0,1,1,0
CETPROJH2948,On-hold (confirmed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),1,1,1,0,13.710151153416941,0,0,1,1,0
CETPROJH2947,Plans cancelled,2022.0,2022,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,7.189922170745808,1,1,1,1,0
CETPROJH2946,Plans cancelled,2022.0,2022,Green,0,Europe (EU-27),1,Industry (refinery feedstock),1,1,1,0,7.496097345175956,1,1,1,1,0
CETPROJH2945,Announced (advanced),2020.0,2020,Green,0,Europe (EU-27),1,Power & heat,0,1,0,0,9.25272913846797,0,0,0,0,0
CETPROJH2944,Design,2020.0,2020,Green,0,Europe (EU-27),1,Power & heat,0,1,0,0,6.26530121273771,0,0,0,0,0
CETPROJH2943,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,8.798454696065095,0,0,0,1,0
CETPROJH2942,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,8.798454696065095,0,0,0,1,0
CETPROJH2941,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,6.028278520230698,0,0,0,1,0
CETPROJH2940,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,4.6443908991413725,0,0,0,1,0
CETPROJH294,On-hold (assumed),2020.0,2020,Green,0,North America,0,Power & heat,0,0,0,0,0.0,0,0,0,1,0
CETPROJH2939,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,5.337538079701318,0,0,0,1,0
CETPROJH2938,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Transport (road),0,1,0,0,4.6443908991413725,0,0,0,1,0
CETPROJH2937,Feasibility,2020.0,2020,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,9.563107691083898,0,0,0,0,0
CETPROJH2936,Design,2020.0,2020,Green,0,Europe (EU-27),1,Industry (other),0,1,0,0,7.719129840906732,0,0,0,0,0
CETPROJH2935,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,9.210440366976517,0,0,0,1,0
CETPROJH2934,Fully commissioned,2020.0,2020,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,6.621405651764134,0,0,0,0,1
CETPROJH2933,On-hold (assumed),2021.0,2021,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,9.187685681411377,0,0,0,1,0
CETPROJH2932,Design,2020.0,2020,Green,0,Europe (EU-27),1,Industry (chemical feedstock),1,1,1,0,8.657129031713755,0,0,0,0,0
CETPROJH2931,On-hold (assumed),2021.0,2021,Waste,0,Europe (EU-27),1,Unknown,0,1,0,0,7.155396301896734,0,0,0,1,0
