project_id,is_blue_ccs,log_capacity_mw,region,sponsor_type,sponsor_owner,tech,year_announced,duration,event_any,event_type,capacity_mw,region_short,cap_bkt,key,v7_project_id,sp_record_id,match_quality,Record ID,Project name,Primary end use sector,Primary end use sector detail,Secondary use sector,Output product,Will export,Export destination geography,project_status,Project status major,cbam_endex,sponsor_proxy_cbam
0,0,3.269568939183719,EU,Unknown,Unknown,PEM,2020.0,6,0,0,25.299999999999997,EU,L,2020_EU_0_L,0,CETPROJH2835,exact,CETPROJH2835,Frankfurt 1 H2,Transport (rail),,Unknown,Hydrogen,Unknown,,Fully commissioned,Operating,0,0
1,0,0.0953101798043248,EU,Unknown,Unknown,PEM,2020.0,6,0,0,0.09999999999999994,EU,XS,2020_EU_0_XS,1,CETPROJH2820,exact,CETPROJH2820,Neumunster H2,Transport (road),Trucks & Light Motor Vehicles,Unknown,Hydrogen,Unknown,,Fully commissioned,Operating,0,0
2,0,3.044522437723423,EU,Unknown,Unknown,PEM,2021.0,5,0,0,20.0,EU,L,2021_EU_0_L,2,CETPROJH2918,exact,CETPROJH2918,VHyGO (Grand Ouest Hydrogen Valley),Transport (road),Unknown,Unknown,Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,0
3,0,3.9318256327243257,EU,Unknown,Unknown,PEM,2022.0,4,0,0,50.0,EU,L,2022_EU_0_L,3,CETPROJH21401,exact,CETPROJH21401,Port of Vigo H2,Industry (other),Unknown,Transport (other),Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,0
4,0,5.030437921392435,EU,Other,"Endesa, S.A.",PEM,2021.0,5,0,0,151.99999999999997,EU,XL,2021_EU_0_XL,4,CETPROJH21329,exact,CETPROJH21329,Herten Linde H2,Transport (other),Unknown,Unknown,Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,0
5,0,0.0953101798043248,EU,Unknown,Unknown,PEM,2009.0,17,0,0,0.09999999999999994,EU,XS,2009_EU_0_XS,5,,no_match,,,,,,,,,,,0,0
5,0,0.0953101798043248,EU,Unknown,Unknown,PEM,2009.0,17,0,0,0.09999999999999994,EU,XS,2009_EU_0_XS,5,,no_match,,"Applied filters:
geography is not (Blank)",,,,,,,,,0,0
6,0,0.0,North_America,Unknown,Unknown,PEM,2020.0,6,0,0,0.0,NA,XS,2020_NA_0_XS,6,CETPROJH294,exact,CETPROJH294,H2-Orange,Power & heat,Power,Unknown,Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,0
7,0,5.87493073085203,EU,Unknown,Unknown,PEM,2020.0,6,0,0,355.0,EU,XL,2020_EU_0_XL,7,CETPROJH21173,exact,CETPROJH21173,Green Fuels for Denmark,Transport (aviation),,Unknown,"Hydrogen,SAF",Unknown,,On-hold (confirmed),Cancelled,0,0
8,0,5.356586274672012,EU,Unknown,Unknown,PEM,2021.0,5,0,0,210.99999999999997,EU,XL,2021_EU_0_XL,8,CETPROJH2939,exact,CETPROJH2939,Y Basque Green H2 - Jundiz,Transport (road),Heavy Goods Vehicles,Industry (chemical feedstock),Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,0
9,0,3.044522437723423,EU,Utility,"Iberdrola, S.A.",PEM,2020.0,6,0,0,20.0,EU,L,2020_EU_0_L,9,CETPROJH2994,exact,CETPROJH2994,Port of Barcelona H2,Transport (road),Heavy Goods Vehicles,Unknown,Hydrogen,Unknown,,Fully commissioned,Operating,0,0
10,0,5.303304908059076,EU,Other,unknown,PEM,2020.0,6,0,0,200.0,EU,XL,2020_EU_0_XL,10,CETPROJH21306,exact,CETPROJH21306,Monforte H2 Pilot,Gas grid,Unknown,Unknown,Hydrogen,Unknown,,Design,Planning - early,0,0
11,0,6.478509642208569,EU,Unknown,Unknown,PEM,2022.0,4,0,0,649.9999999999998,EU,XL,2022_EU_0_XL,11,CETPROJH21650,exact,CETPROJH21650,Lingen RWE ALK H2,Transport (road),Heavy Goods Vehicles,Power & heat,Hydrogen,No,,Fully commissioned,Operating,0,0
12,0,0.1484200051182732,EU,Unknown,Unknown,PEM,2022.0,4,0,0,0.1599999999999999,EU,S,2022_EU_0_S,12,CETPROJH22066,relaxed,CETPROJH22066,Methanol-to-SAF (M2SAF) project,Transport (aviation),,Unknown,"Hydrogen,SAF",No,,Design,Planning - early,0,0
13,0,0.6931471805599453,EU,Unknown,Unknown,PEM,2021.0,5,0,0,1.0,EU,M,2021_EU_0_M,13,CETPROJH2579,exact,CETPROJH2579,Port of Ijzendoorn H2,Transport (shipping),,Unknown,Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,0
14,1,0.0,EU,Industrial_gas,L'Air Liquide S.A.,Blue_CCS,2021.0,5,0,0,0.0,EU,XS,2021_EU_1_XS,14,CETPROJH21274,exact,CETPROJH21274,Prinos H2,Unknown,Unknown,Unknown,Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,1
15,0,0.1988508587451652,EU,Unknown,Unknown,PEM,2018.0,8,0,0,0.22,EU,S,2018_EU_0_S,15,CETPROJH21591,relaxed,CETPROJH21591,Carbon2Chem,Industry (other),Steel & Plastic,Industry (chemical feedstock),Hydrogen,Unknown,,Fully commissioned,Operating,1,0
16,0,0.6931471805599453,North_America,Unknown,Unknown,PEM,2020.0,6,0,0,1.0,NA,M,2020_NA_0_M,16,CETPROJH294,relaxed,CETPROJH294,H2-Orange,Power & heat,Power,Unknown,Hydrogen,Unknown,,On-hold (assumed),Cancelled,0,0
17,0,5.303304908059076,EU,Industrial_gas,L'Air Liquide S.A.,PEM,2017.0,9,0,0,200.0,EU,XL,2017_EU_0_XL,17,CETPROJH2778,exact,CETPROJH2778,Wyhlen hydroelectric power plant,Transport (other),Unknown,Power & heat,Hydrogen,No,,Fully commissioned,Operating,0,1
18,0,0.2231435513142097,EU,Unknown,Unknown,PEM,2010.0,16,0,0,0.24999999999999994,EU,S,2010_EU_0_S,18,CETPROJH21158,relaxed,CETPROJH21158,Haldor Topsoe - El-Opgraderet Biogas,Unknown,Unknown,Unknown,Hydrogen,Unknown,,Decommissioned,Offline,0,0
19,0,1.0986122886681098,Other_Europe,Unknown,Unknown,PEM,2021.0,5,0,0,2.0000000000000004,OE,M,2021_OE_0_M,19,CETPROJH21064,exact,CETPROJH21064,SHAPE UK H2,Other,R&D (Maritime),Transport (road),Hydrogen,Unknown,,Fully commissioned,Operating,0,0
