Region major,cbam_endex,log_cap,year_announced,is_blue,cancel_B,cate,cate_lo,cate_hi,cate_significant
Europe (EU-27),0,3.044522437723423,2020,0,0,0.33152757748208894,-0.19440914916067686,0.8574643041248546,0
Europe (EU-27),0,0.6931471805599453,2017,0,0,0.3323916285218403,0.0035857991763865726,0.6611974578672939,1
Europe (EU-27),0,4.330733340286331,2020,0,0,0.4423406873808847,0.18518478566748497,0.6994965890942841,1
North America,0,1.9459101490553132,2014,0,0,0.21675266796512518,-0.2325102580931501,0.6660155940234004,0
Europe (EU-27),0,1.0986122886681098,2015,0,1,0.23168195730437838,-0.38352331642729326,0.8468872310360496,0
Europe (EU-27),0,0.6931471805599453,2011,0,1,0.06138057251058852,-0.5744425827933941,0.697203727814571,0
Europe (EU-27),1,4.812184355372417,2021,0,0,0.28543772474975193,0.04813980390950265,0.5227356455900011,1
Europe (EU-27),1,7.189922170745808,2022,0,1,0.012861317016203175,-0.38192049267988315,0.4076431267122893,0
Europe (EU-27),1,7.496097345175956,2022,0,1,0.017959559455873547,-0.34660434418653524,0.38252346309828217,0
Europe (EU-27),1,6.621405651764134,2020,0,0,0.10754483338501726,-0.1297196910515085,0.34480935782154315,0
North America,0,1.9459101490553132,2012,0,1,0.11918643394451636,-0.24407124431336502,0.4824441122023977,0
Europe (EU-27),0,2.302585092994046,2016,0,0,0.20439661451084315,-0.25647991276723947,0.6652731417889256,0
Europe (EU-27),0,2.3978952727983707,2019,0,0,0.31943274791326376,-0.14058949286493921,0.7794549886914668,0
Europe (EU-27),0,3.9512437185814275,2022,0,0,0.28553131614538296,-0.129666977234146,0.7007296095249118,0
Europe (EU-27),0,4.634728988229636,2019,0,0,0.4711193935240501,0.09503778714749195,0.8472009999006083,1
North America,0,3.044522437723423,2013,0,1,0.14934752638495385,-0.046149127995195854,0.3448441807651035,0
Europe (EU-27),0,3.8066624897703196,2019,0,0,0.4462041629213472,0.16649659238896997,0.7259117334537237,1
Europe (EU-27),0,3.091042453358316,2017,0,0,0.35175813513769744,-0.2094427236419033,0.9129589939172982,0
North America,0,2.0794415416798357,2012,0,1,0.11881673204535642,-0.21171309573951247,0.449346559830225,0
Europe (EU-27),0,2.4849066497880004,2018,0,0,0.34625826659628317,-0.34032218403742576,1.0328387172299922,0
Europe (EU-27),0,2.6390573296152584,2017,0,0,0.3459799715318405,-0.2721948799799225,0.9641548230436034,0
Europe (EU-27),0,0.0,2016,0,1,0.29279117617023204,-0.2026097773580301,0.7881921296984944,0
Europe (EU-27),0,1.3862943611198906,2016,0,1,0.27338424149662044,-0.10407753979660911,0.65084602278985,0
North America,0,4.04305126783455,2020,0,0,0.3220298968509754,0.059790244772009504,0.584269548929941,1
Europe (EU-27),0,3.9512437185814275,2019,0,0,0.4319349405529488,0.17232625835038723,0.6915436227555104,1
Europe (EU-27),0,2.6390573296152584,2016,0,0,0.24335539708057585,-0.1721992912354691,0.6589100853966211,0
Europe (EU-27),0,1.791759469228055,2015,0,0,0.18261238413811573,-0.24863309775111136,0.6138578660273428,0
Europe (EU-27),0,0.0,2011,0,1,0.11978873343230582,-0.4027347943062873,0.6423122611708988,0
Europe (EU-27),0,0.0,2011,0,1,0.11978873343230582,-0.4027347943062873,0.6423122611708988,0
Europe (EU-27),0,3.4011973816621555,2016,0,0,0.2689660112779985,-0.01636312977531823,0.5542951523313149,0
North America,0,3.8501476017100584,2021,0,0,0.30791334909626467,0.10343924196207449,0.5123874562304547,1
Europe (EU-27),0,2.3978952727983707,2010,0,0,-0.0782915689215684,-0.5156300766823381,0.3590469388392012,0
Europe (non EU-27),0,4.812184355372417,2021,0,1,0.3117521256663908,-0.027137716075959384,0.6506419674087407,0
Europe (non EU-27),0,2.8903717578961645,2017,0,0,0.296677846815365,-0.09419965607439418,0.6875553497051242,0
Europe (non EU-27),0,3.1354942159291497,2015,0,1,0.230449277441244,-0.13578642978892055,0.5966849846714084,0
Europe (non EU-27),0,5.351858133476067,2016,0,0,0.2520590311149863,-0.025252576986256214,0.5293706392162284,0
Europe (EU-27),0,3.4011973816621555,2019,0,0,0.43117279483315457,0.1482855827891839,0.7140600068771252,1
Europe (EU-27),0,4.859812404361672,2020,0,0,0.4307473879181175,-0.1237685350695722,0.985263310905807,0
Europe (EU-27),0,3.9318256327243257,2015,0,0,0.18804172711428407,-0.22066614210217303,0.5967495963307412,0
Europe (non EU-27),0,0.0,2021,0,1,0.2505525857241383,-0.09661916103989854,0.597724332488175,0
Europe (non EU-27),0,0.0,2021,1,1,0.2505525857241383,-0.09661916103989854,0.597724332488175,0
Europe (EU-27),0,4.795790545596741,2015,0,1,0.28618403587789654,-0.2737840031284684,0.8461520748842614,0
Europe (EU-27),0,3.5263605246161616,2019,0,0,0.43756101874511566,0.14633151027792318,0.7287905272123074,1
Europe (EU-27),0,3.4011973816621555,2020,0,0,0.38313276768933724,0.1194506244882742,0.6468149108903999,1
Europe (EU-27),0,7.105786129481271,2021,0,0,0.08263943238715556,-0.12310917738140673,0.28838804215571784,0
Europe (EU-27),1,8.071218539969863,2021,0,0,0.11381751413724998,-0.06145656912839054,0.28909159740289037,0
Europe (EU-27),0,6.698268054115413,2020,0,0,0.01913513382704181,-0.2988722483444713,0.3371425159985548,0
Europe (EU-27),0,0.0,2020,0,0,0.31527243504450453,0.022204103369503847,0.6083407667195051,1
Europe (EU-27),0,4.663439094112067,2018,0,0,0.4624291128078954,0.12567463520889272,0.7991835904068981,1
Europe (EU-27),0,3.6109179126442243,2010,0,0,-0.03608292614630974,-0.4274165793102156,0.3552507270175962,0
Europe (EU-27),0,3.58351893845611,2020,0,0,0.39939780425666943,0.11794960765831114,0.6808460008550274,1
Europe (EU-27),0,7.849323818040561,2020,0,1,-0.020372167765963282,-0.34357999402209904,0.30283565849017235,0
Europe (EU-27),0,3.713572066704308,2011,0,0,-0.029343703470730363,-0.4205247473544793,0.3618373404130184,0
Europe (EU-27),0,6.76849321164863,2018,0,1,0.03213808210295192,-0.3040199639475699,0.36829612815347373,0
Europe (EU-27),0,8.664923303440572,2018,0,1,-0.0075950483692309055,-0.2412903209302538,0.2261002241917919,0
Europe (EU-27),0,3.828641396489095,2018,0,0,0.4310518942673841,0.11828717865174643,0.7438166098830215,1
Europe (EU-27),1,6.478509642208569,2018,0,0,0.13150202376056128,-0.17632978459527948,0.4393338321164019,0
Europe (EU-27),0,0.6931471805599453,2012,0,1,0.07149541456630841,-0.5841926992590979,0.7271835283917147,0
Europe (EU-27),0,4.770684624465665,2017,0,0,0.44633224057840803,0.04507563060915676,0.8475888505476594,1
Europe (EU-27),0,2.772588722239781,2017,0,0,0.3670934038996654,-0.16765374906968472,0.9018405568690164,0
Europe (EU-27),0,2.3978952727983707,2011,0,1,-0.0782915689215684,-0.5156300766823381,0.3590469388392012,0
Europe (EU-27),0,4.07753744390572,2017,0,0,0.4084218463018904,0.12519773754728436,0.6916459550564962,1
Europe (EU-27),0,3.713572066704308,2015,0,0,0.18375639248628864,-0.24658274065022298,0.6140955256228,0
Europe (EU-27),0,1.0986122886681098,2015,0,1,0.23168195730437838,-0.38352331642729326,0.8468872310360496,0
Europe (EU-27),0,4.795790545596741,2017,0,0,0.44758981112414575,0.049453541458769124,0.8457260807895226,1
Europe (EU-27),0,4.174387269895637,2015,0,0,0.19188460850329644,-0.22607506149290957,0.6098442784995025,0
Europe (EU-27),0,0.0,2011,0,1,0.11978873343230582,-0.4027347943062873,0.6423122611708988,0
Europe (EU-27),0,4.770684624465665,2014,0,0,0.21991552235699627,-0.34281441998422857,0.782645464698221,0
Europe (EU-27),0,1.3862943611198906,2011,0,1,-0.0011605636976664384,-0.470880162851153,0.46855903545582,0
Europe (EU-27),0,2.8903717578961645,2014,0,1,0.13127919505401373,-0.454294847040529,0.7168532371485564,0
