year,n_blue,y_blue,n_pem,y_pem,z_eua,z,beta_int_t,beta_int_sd,eta_blue_t,eta_pem_t,p_blue_t,p_pem_t,score_blue,raw_resid_blue,score_blue_std
2010,3,0,23,0,12.91968253968254,-0.47123994137466724,-0.4571003870295114,1.129874810056791,-4.6811391852045885,-7.355160156915221,0.00918333412278159,0.0006388765992292774,0.012982661500930732,-0.02755000236834477,0.0028479599148415503
2011,7,0,27,0,12.736774193548388,-0.47739043130751674,-0.706936426793033,0.8488626950595671,-4.566900952426117,-7.363002650244345,0.010283265070158535,0.0006338889730657568,0.034363926429647536,-0.07198285549110975,0.007538291357375695
2012,9,0,28,0,7.254444444444444,-0.6617396676496042,-0.8848649440891103,0.6849980045923567,-4.553899223738482,-7.598066469879304,0.010416436465938723,0.0005011687114238509,0.062036722845571574,-0.0937479281934485,0.013608773509165032
2013,11,0,36,0,4.328196721311475,-0.7601378957378555,-1.0074172890227642,0.5890935167354266,-4.499141038028742,-7.723534108360949,0.010996280230320597,0.0004420991829263654,0.09194558246741648,-0.12095908253352657,0.020169772830878133
2014,13,0,39,0,5.9373015873015875,-0.7060300133566292,-1.0971963140287158,0.5342510911622448,-4.4212705753546775,-7.654541115727724,0.011876211978552008,0.00047366279578285885,0.10900450732396204,-0.1543907557211761,0.023911928025962974
2015,15,0,45,0,7.654285714285714,-0.6482945747554134,-1.1665166779548697,0.5046508295140179,-4.366059178221468,-7.580922624025825,0.01254189812243076,0.0005098303246542348,0.1219626676486045,-0.1881284718364614,0.026754513205590913
2016,15,0,59,0,5.125645161290322,-0.733322833955715,-1.2241996096150336,0.4903321500669058,-4.332991668143628,-7.6893422073185125,0.012958096764400916,0.0004574697563621361,0.14253702362914292,-0.19437145146601376,0.03126783592466922
2017,16,0,73,0,5.792258064516129,-0.7109072578649945,-1.2690372101041365,0.4849525602405222,-4.299975317779292,-7.660760093067574,0.013387243827150534,0.00047072762056472726,0.15227342079247458,-0.21419590123440854,0.033403674468573154
2018,22,3,84,0,16.28746031746032,-0.35799479014955904,-1.3058929895848177,0.4847218545044493,-4.2846412991248615,-7.210761198013566,0.01359129450970196,0.0007380496050473806,-0.9669408926797218,2.700991520786557,-0.21211435745864066
2019,26,0,103,0,24.908196721311477,-0.06811325337841816,-1.5413721666956577,0.4934704102093475,-4.2775281949961395,-6.84113308006123,0.01368698752930677,0.001067750264231663,0.02423889648884396,-0.355861675761976,0.005317199834199814
2020,41,2,156,0,24.819523809523808,-0.07109497544191822,-1.4990245604824963,0.4762551644972478,-4.27974494917845,-6.844935075617292,0.01365709435323378,0.0010637026999465449,-0.10238096859014069,1.440059131517415,-0.022458946077156004
2021,98,0,238,0,54.43888888888888,0.9248880433122714,-1.548166490645013,0.4787215939179396,-4.5482202070154685,-5.574956542885684,0.01047513845179566,0.003777318120507347,-0.9494563699984294,-1.0265635682759746,-0.20827884039437083
2022,153,1,305,1,80.51322580645162,1.801665675971932,-1.4966329062851078,0.4813651893579879,-4.694791992701116,-4.456976868041629,0.009059936031105385,0.011464413671317503,-0.6957496174108919,-0.386170212759124,-0.1526240995354083
2023,196,10,367,10,82.60112903225807,1.871873668348989,-1.574329866602434,0.4892366035257088,-4.8557842261517585,-4.3674546156877945,0.007723116379943065,0.01252462793938055,15.885223838404691,8.486269189531159,3.48468461007157
2024,214,10,402,4,65.34290322580645,1.291547257198936,-1.4127694229387036,0.4990705352105107,-4.4734706248338085,-5.107429163707311,0.011278988560484024,0.00601521884589305,9.798060369785299,7.5862964480564195,2.1493653804611346
2025,218,1,448,0,74.14857142857143,1.5876473246797085,-1.351248841429403,0.5227337387224102,-4.416561389538814,-4.729871793591375,0.011931602284637076,0.008750358037984218,-2.5419651406237964,-1.6010892980508826,-0.5576217807806312
2026,217,0,455,1,0.0,-0.905678167269773,-1.488748384427566,0.505328742554644,-4.102168673692757,-7.909112594151459,0.016267757398879146,0.00036724553271552375,3.1971375373335356,-3.5301033555567747,0.7013446008669622
