G,t,F,tau,Hbar
0,2018,0.04838709677419355,1,0.04959694113937206
0,2019,0.038461538461538464,2,0.019610356576640633
0,2020,0.041666666666666664,3,0.01418653813959863
0,2021,0.02242152466367713,4,0.005669177167757425
0,2022,0.015479876160990712,5,0.0031201880884959322
0,2023,0.03970223325062035,6,0.00675197815281687
0,2024,0.05470459518599562,7,0.008036828950013477
0,2025,0.052313883299798795,8,0.006716491510026373
0,2026,0.05189620758483034,9,0.005921255227802626
1,2018,0.0,1,0.0
1,2019,0.0,2,0.0
1,2020,0.0,3,0.0
1,2021,0.0,4,0.0
1,2022,0.007142857142857143,5,0.0014336978957225032
1,2023,0.011976047904191617,6,0.0020080564193624135
1,2024,0.021505376344086023,7,0.003105712376629411
1,2025,0.01904761904761905,8,0.0024039202409859555
1,2026,0.023474178403755867,9,0.0026393428897896827
