G,t,F,tau,Hbar
0,2018,0.03821656050955414,1,0.03896596853338372
0,2019,0.032432432432432434,2,0.016485009618784914
0,2020,0.01812688821752266,3,0.0060977310157751255
0,2021,0.008658008658008658,4,0.002173926741888483
0,2022,0.01637852593266606,5,0.003302827352882623
0,2023,0.018267929634641408,6,0.0030728081039932066
0,2024,0.025806451612903226,7,0.003735040014903178
0,2025,0.02369020501138952,8,0.002996916254461838
0,2026,0.03342245989304813,9,0.0037770839795236203
1,2018,0.005988023952095809,1,0.006006024060211922
1,2019,0.005,2,0.002506270911772143
1,2020,0.006968641114982578,3,0.0023310118303235456
1,2021,0.006198347107438017,4,0.0015544091527176405
1,2022,0.016420361247947456,5,0.003311333918889531
1,2023,0.015957446808510637,6,0.0026810229586040637
1,2024,0.02097902097902098,7,0.003028886807228991
1,2025,0.02233502538071066,8,0.002823528671745413
1,2026,0.027916251246261216,9,0.003145924107120924
