group,n,obs_pos,exp_pos,obs_neg,exp_neg,hl_contrib
0,72,0,4.916648534405379e-31,72,72.0,4.916648534405379e-31
1,71,0,0.32409699683779186,71,70.6759030031622,0.3255832015963583
2,71,1,0.8969483044666633,70,70.10305169553334,0.011991245514464973
3,72,0,1.317240769177418,72,70.68275923082258,1.341788809786824
4,71,3,2.1581757922944904,68,68.84182420770551,0.33865850154068167
5,71,3,3.286257243851798,68,67.7137427561482,0.02614525873197503
6,76,3,4.965550351571803,73,71.0344496484282,0.8324257947772152
7,84,12,7.528631293370487,72,76.47136870662952,2.9170599873397505
8,54,8,5.811800564914371,46,48.18819943508563,0.9232432923990453
9,72,13,16.711298683515167,59,55.28870131648483,1.0733410052964731
