true_did,n_sims,n_valid,n_significant,power,mean_coef,sd_coef,median_pval
0.0,1000,1000,76,0.076,0.002825202049030718,0.18223899598925644,0.4739077245316499
0.05,1000,1000,67,0.067,0.05483481141036754,0.17449855071199846,0.4963452842613951
0.1,1000,1000,102,0.102,0.10238652245665036,0.1840818070706157,0.42021924206169736
0.11,1000,1000,97,0.097,0.10758457438358994,0.19074177860527042,0.4031763323637393
0.12,1000,1000,103,0.103,0.11923121998176538,0.17749564040249788,0.4207776592144893
0.15,1000,1000,140,0.14,0.15767979100897758,0.18876463778944508,0.34752783243581825
0.17,1000,1000,162,0.162,0.16369507323516508,0.18735273017971507,0.3271074424699888
0.2,1000,1000,197,0.197,0.19485336234710082,0.18952952281799035,0.2810747523049789
0.25,1000,1000,294,0.294,0.25777899925519937,0.19087739300217962,0.1722668601988615
0.3,1000,1000,375,0.375,0.2984257118377437,0.18935119056536626,0.10583020718364594
