geography,technology,group,t,n_risk_set,cancel_rate,onhold_rate,failure_rate
US,Green,US_Green,2018,20,0.0,0.0,0.25
US,Green,US_Green,2019,21,0.0,0.0,0.23809523809523808
US,Green,US_Green,2020,32,0.0,0.0,0.15625
US,Green,US_Green,2021,46,0.0,0.0,0.10869565217391304
US,Green,US_Green,2022,55,0.05454545454545454,0.0,0.14545454545454545
US,Green,US_Green,2023,65,0.09230769230769231,0.0,0.18461538461538463
US,Green,US_Green,2024,73,0.0958904109589041,0.0,0.1780821917808219
US,Green,US_Green,2025,78,0.10256410256410256,0.0,0.1794871794871795
US,Green,US_Green,2026,79,0.10126582278481013,0.1518987341772152,0.3291139240506329
US,Blue,US_Blue,2018,9,0.4444444444444444,0.0,0.4444444444444444
US,Blue,US_Blue,2019,10,0.4,0.0,0.4
US,Blue,US_Blue,2020,12,0.3333333333333333,0.0,0.4166666666666667
US,Blue,US_Blue,2021,24,0.16666666666666666,0.0,0.20833333333333334
US,Blue,US_Blue,2022,45,0.08888888888888889,0.0,0.1111111111111111
US,Blue,US_Blue,2023,69,0.057971014492753624,0.0,0.07246376811594203
US,Blue,US_Blue,2024,79,0.05063291139240506,0.0,0.06329113924050633
US,Blue,US_Blue,2025,85,0.047058823529411764,0.0,0.058823529411764705
US,Blue,US_Blue,2026,85,0.09411764705882353,0.27058823529411763,0.3764705882352941
NonUS,Green,NonUS_Green,2018,239,0.008368200836820083,0.0,0.34309623430962344
NonUS,Green,NonUS_Green,2019,268,0.007462686567164179,0.0,0.30597014925373134
NonUS,Green,NonUS_Green,2020,358,0.00558659217877095,0.002793296089385475,0.23184357541899442
NonUS,Green,NonUS_Green,2021,500,0.004,0.002,0.166
NonUS,Green,NonUS_Green,2022,618,0.009708737864077669,0.0016181229773462784,0.1407766990291262
NonUS,Green,NonUS_Green,2023,745,0.010738255033557046,0.0026845637583892616,0.12080536912751678
NonUS,Green,NonUS_Green,2024,867,0.012687427912341407,0.002306805074971165,0.10726643598615918
NonUS,Green,NonUS_Green,2025,980,0.013265306122448979,0.0020408163265306124,0.09693877551020408
NonUS,Green,NonUS_Green,2026,1002,0.016966067864271458,0.12275449101796407,0.21956087824351297
NonUS,Blue,NonUS_Blue,2018,17,0.058823529411764705,0.0,0.11764705882352941
NonUS,Blue,NonUS_Blue,2019,24,0.041666666666666664,0.0,0.125
NonUS,Blue,NonUS_Blue,2020,40,0.025,0.0,0.1
NonUS,Blue,NonUS_Blue,2021,91,0.01098901098901099,0.0,0.04395604395604396
NonUS,Blue,NonUS_Blue,2022,128,0.0234375,0.0078125,0.0546875
NonUS,Blue,NonUS_Blue,2023,150,0.03333333333333333,0.006666666666666667,0.06
NonUS,Blue,NonUS_Blue,2024,171,0.04678362573099415,0.005847953216374269,0.07602339181286549
NonUS,Blue,NonUS_Blue,2025,187,0.058823529411764705,0.0213903743315508,0.10160427807486631
NonUS,Blue,NonUS_Blue,2026,188,0.0851063829787234,0.3670212765957447,0.4734042553191489
