year,beta_int,se,p,n_events
2014,-22.58005477634562,,,33
2015,-16.50682863060677,,,32
2016,-26.060218799968776,,,26
2017,3.4288186417385087,,,17
2018,2.396027774303184,2.2343269426668773,0.2835533564925057,17
2019,,,,12
2020,-0.9460351323030023,0.7608056295723821,0.21369655000524646,16
2021,-1.86073954655571,0.9156933893727146,0.04214806439051461,23
2022,-1.769792922569784,1.0192532871890392,0.08249980417421629,30
2023,-1.9608746485833926,0.8192857120985724,0.01669324075299834,36
2024,-0.18295553628723288,0.22144494506312398,0.40869648102145806,270
2025,-0.08948596286324889,,,260
