group,year,cancel_rate,n_risk
US_Green,2018,0.0,20
US_Green,2019,0.0,21
US_Green,2020,0.0,32
US_Green,2021,0.0,46
US_Green,2022,0.05454545454545454,55
US_Green,2023,0.09230769230769231,65
US_Green,2024,0.0958904109589041,73
US_Green,2025,0.10256410256410256,78
US_Green,2026,0.10126582278481013,79
NonUS_Green,2018,0.008368200836820083,239
NonUS_Green,2019,0.007462686567164179,268
NonUS_Green,2020,0.00558659217877095,358
NonUS_Green,2021,0.004,500
NonUS_Green,2022,0.009708737864077669,618
NonUS_Green,2023,0.010738255033557046,745
NonUS_Green,2024,0.012687427912341407,867
NonUS_Green,2025,0.013265306122448979,980
NonUS_Green,2026,0.016966067864271458,1002
US_Blue,2018,0.4444444444444444,9
US_Blue,2019,0.4,10
US_Blue,2020,0.3333333333333333,12
US_Blue,2021,0.16666666666666666,24
US_Blue,2022,0.08888888888888889,45
US_Blue,2023,0.057971014492753624,69
US_Blue,2024,0.05063291139240506,79
US_Blue,2025,0.047058823529411764,85
US_Blue,2026,0.09411764705882353,85
NonUS_Blue,2018,0.058823529411764705,17
NonUS_Blue,2019,0.041666666666666664,24
NonUS_Blue,2020,0.025,40
NonUS_Blue,2021,0.01098901098901099,91
NonUS_Blue,2022,0.0234375,128
NonUS_Blue,2023,0.03333333333333333,150
NonUS_Blue,2024,0.04678362573099415,171
NonUS_Blue,2025,0.058823529411764705,187
NonUS_Blue,2026,0.0851063829787234,188
