region,year,cancel_rate,n_risk
EU-27,2015,0.009174311926605505,109
EU-27,2016,0.008264462809917356,121
EU-27,2017,0.007407407407407408,135
EU-27,2018,0.006711409395973154,149
EU-27,2019,0.005917159763313609,169
EU-27,2020,0.004784688995215311,209
EU-27,2021,0.0035087719298245615,285
EU-27,2022,0.012307692307692308,325
EU-27,2023,0.015873015873015872,378
EU-27,2024,0.0196078431372549,408
EU-27,2025,0.01991150442477876,452
EU-27,2026,0.024017467248908297,458
Non-EU,2015,0.029411764705882353,102
Non-EU,2016,0.03571428571428571,112
Non-EU,2017,0.04032258064516129,124
Non-EU,2018,0.04411764705882353,136
Non-EU,2019,0.03896103896103896,154
Non-EU,2020,0.02575107296137339,233
Non-EU,2021,0.015957446808510637,376
Non-EU,2022,0.023032629558541268,521
Non-EU,2023,0.026113671274961597,651
Non-EU,2024,0.028132992327365727,782
Non-EU,2025,0.030751708428246014,878
Non-EU,2026,0.04241071428571429,896
