group,year,cancel_rate,failure_rate,n_risk
UK_Blue,2018,0.0,0.0,1
UK_Blue,2019,0.0,0.0,2
UK_Blue,2020,0.0,0.0,4
UK_Blue,2021,0.0,0.0,17
UK_Blue,2022,0.0,0.0,23
UK_Blue,2023,0.0,0.0,26
UK_Blue,2024,0.07407407407407407,0.07407407407407407,27
UK_Blue,2025,0.14285714285714285,0.17857142857142858,28
UK_Blue,2026,0.17857142857142858,0.5714285714285714,28
NonUK_Blue,2018,0.2,0.24,25
NonUK_Blue,2019,0.15625,0.21875,32
NonUK_Blue,2020,0.10416666666666667,0.1875,48
NonUK_Blue,2021,0.05102040816326531,0.09183673469387756,98
NonUK_Blue,2022,0.04666666666666667,0.08,150
NonUK_Blue,2023,0.046632124352331605,0.07253886010362694,193
NonUK_Blue,2024,0.04484304932735426,0.07174887892376682,223
NonUK_Blue,2025,0.045081967213114756,0.0778688524590164,244
NonUK_Blue,2026,0.07755102040816327,0.42857142857142855,245
UK_Green,2018,0.0,0.26666666666666666,15
UK_Green,2019,0.0,0.26666666666666666,15
UK_Green,2020,0.0,0.18181818181818182,22
UK_Green,2021,0.0,0.11428571428571428,35
UK_Green,2022,0.022727272727272728,0.11363636363636363,44
UK_Green,2023,0.04,0.12,50
UK_Green,2024,0.037037037037037035,0.1111111111111111,54
UK_Green,2025,0.03636363636363636,0.10909090909090909,55
UK_Green,2026,0.05454545454545454,0.34545454545454546,55
NonUK_Green,2018,0.00819672131147541,0.3401639344262295,244
NonUK_Green,2019,0.0072992700729927005,0.3029197080291971,274
NonUK_Green,2020,0.005434782608695652,0.22826086956521738,368
NonUK_Green,2021,0.003913894324853229,0.1643835616438356,511
NonUK_Green,2022,0.012718600953895072,0.14308426073131955,629
NonUK_Green,2023,0.015789473684210527,0.12631578947368421,760
NonUK_Green,2024,0.01805869074492099,0.11286681715575621,886
NonUK_Green,2025,0.018943170488534396,0.10269192422731804,1003
NonUK_Green,2026,0.021442495126705652,0.2212475633528265,1026
