Project name,Primary owner,is_oil_major,tech_label,capacity_tpy,is_megaproject,announce_year,project_status,event_any,Primary end use sector
Project Starling,Carbon Neutral Fuels Ltd,0,Green,23339.0,0,2025.0,Design,0,Transport (aviation)
STFC ASPIRE Project,,0,Green,0.0,0,2023.0,Under construction,0,Other
H21 North England,Equinor ASA,1,Blue,0.0,0,2018.0,On-hold (assumed),1,Power & heat
MESH (Marram Energy Storage Hub) Project,EnergyPathways plc,0,Blue,20000.0,0,2025.0,Design,0,Power & heat
South Wales Industrial Cluster (Clean Growth Hub Port of Barry),Associated British Ports,0,Blue,833333.0,1,2024.0,Announced (early stage),0,Unknown
BOC Teesside Hydrogen CCS Project,BOC,0,Blue,40000.0,0,2023.0,Design,0,Unknown
Project Pioneer Two,,0,Green,328.0,0,2024.0,Under construction,0,Transport (road)
Project Pioneer One,,0,Green,15.0,0,2022.0,Fully commissioned,0,Unknown
Grenian Hydrogen Speke ,Grenian Hydrogen Limited,1,Green,2405.0,0,2024.0,Design,0,Industry (other)
The Humber H2ub Project,Uniper SE,1,Green,19239.0,0,2024.0,Design,0,Industry (refinery feedstock)
Kraft Heinz Project/Kitt Green project,,0,Green,3206.0,0,2024.0,Feasibility,0,Industry (other)
Port of Milford Haven/West Wales Hydrogen Project,Trafigura Group Pte. Ltd.,0,Green,1875.0,0,2023.0,Financed,0,Industry (refinery feedstock)
Intelligent Energy Limited project,,0,Green,166.0,0,2023.0,Announced (advanced),0,Transport (other)
University of Sheffield SAF R&D,,0,Green,110.0,0,2023.0,Permitted,0,Other
RECYCLE project (REthinking low Carbon hYdrogen production by Chemical Looping rEforming),,0,Blue,0.0,0,2023.0,Design,0,Unknown
Brigg Power Station H2,,0,Blue,0.0,0,2023.0,Partially commissioned,0,Power & heat
RES and Octopus Green Hydrogen 3 (HYRO),Hyro Energy Limited,0,Green,2405.0,0,2021.0,Permitted,0,Industry (other)
Inverness Green Hydrogen Hub,,0,Green,913.0,0,2023.0,Plans cancelled,1,Transport (other)
