policy,sector,N,n_treat_post_sect,n_treat_post_nonsect,main_did_coef,main_did_p,triple_coef,triple_se,triple_p,triple_ci_lo,triple_ci_hi,sector_effect,nonsector_effect,r_squared
US_45Q,chemical,139,10,30,0.2032153069911181,0.26537556136491813,0.11267421165609079,0.29501482509071536,0.7025152999845021,-0.46554422042709476,0.6908926437392764,0.3158895186472089,0.2032153069911181,0.3621251562070439
US_45Q,power_heat,139,5,35,0.23982187011499295,0.13854402576009628,0.09573839622177392,0.45066986089870026,0.8317670867903519,-0.7875583000573545,0.9790350925009024,0.3355602663367669,0.23982187011499295,0.35994207659196786
US_45Q,industry,139,5,35,0.28817331433704174,0.07131380536525747,-0.1869775641135989,0.12219327427033348,0.12597246460373246,-0.42647198083647736,0.052516852609279574,0.10119575022344285,0.28817331433704174,0.34786542177262136
EU_IF,chemical,541,70,219,-0.287397550948131,0.034442758394722016,0.193521089425602,0.1355846110795376,0.15349094581013442,-0.07221986514816206,0.4592620439993661,-0.09387646152252901,-0.287397550948131,0.11288547440088215
EU_IF,power_heat,541,16,273,-0.14114454060006337,0.5183111054150372,-0.2815812476723374,0.31347223389562545,0.3690440977295252,-0.8959755362610793,0.3328130409164045,-0.42272578827240076,-0.14114454060006337,0.10192195895857148
EU_IF,transport,541,85,204,-0.2888218825434052,0.05003149217362595,0.11461042573057395,0.3493154292485712,0.7428359817136352,-0.5700352348407749,0.7992560863019229,-0.17421145681283123,-0.2888218825434052,0.12530415116300309
EU_IF,industry,541,66,223,-0.24919554356189164,0.07688678815408952,0.040841946316788565,0.10797931410064365,0.7052533411865677,-0.17079362039581103,0.25247751302938815,-0.20835359724510308,-0.24919554356189164,0.09910729754381242
EU_IF,gas_grid,541,18,271,-0.20896695277086144,0.12362283642381357,-0.16845596273912314,0.13599680512325932,0.21546555330380557,-0.43500480279322373,0.09809287731497743,-0.3774229155099846,-0.20896695277086144,0.10145275735719483
UK_Track,power_heat,541,8,23,-0.09751798316285352,0.42647885973116073,0.4075976651012428,0.2687055072189705,0.1292935488724215,-0.11905545149550695,0.9342507816979926,0.31007968193838925,-0.09751798316285352,0.17523512987889556
UK_Track,transport,541,5,26,0.0689742182802696,0.5735731482059354,-0.21878312965218177,0.2698322718030362,0.4174738854712434,-0.7476446642527554,0.31007840494839195,-0.14980891137191216,0.0689742182802696,0.18314827958330582
UK_Track,industry,541,7,24,0.03212704343670313,0.7938225030347896,-0.18823829802697792,0.24918071358510502,0.44999171280087624,-0.6766235222957743,0.3001469262418185,-0.15611125459027478,0.03212704343670313,0.17711107296003792
UK_Track,gas_grid,541,3,28,-0.04353411133747796,0.6932065431351471,0.33850742474750967,0.28064753422961497,0.22775361301898867,-0.21155163469250765,0.8885664841875269,0.2949733134100317,-0.04353411133747796,0.17416179053107106
China_FYP,chemical,624,39,128,0.11013309761392173,0.32157673896043937,0.10646018786397796,0.15062321624614333,0.4796920181838118,-0.1887558912140513,0.4016762669420072,0.2165932854778997,0.11013309761392173,0.1882646561981749
China_FYP,power_heat,624,3,164,0.13598849033426874,0.11016409524574658,-0.012320766675996707,0.04249257924143987,0.7718537093105818,-0.09560469159943319,0.07096315824743976,0.12366772365827203,0.13598849033426874,0.18863665558969167
China_FYP,transport,624,25,142,0.1413024196213149,0.25174144538555254,-0.05768066551715409,0.16354313670450604,0.7243179383907002,-0.3782193233766965,0.2628579923423884,0.08362175410416081,0.1413024196213149,0.19950036837803087
China_FYP,industry,624,16,151,0.16046345873024687,0.07550620295050406,0.0585922814513777,0.14077026682577437,0.6772444469390722,-0.2173123716212336,0.334496934523989,0.21905574018162458,0.16046345873024687,0.1936998036862212
