method,policy,N,coef,se,p,ci_lo,ci_hi,N_treated_periods,ATT,SE,p_approx
TWFE,US_45Q,1405.0,-0.037951130963948615,0.018266910479376883,0.037747236814140814,0.0631555866907996,-0.002148644315552631,,,,
Sun-Abraham,US_45Q,1405.0,-0.03659407913654113,,,,,,,,
Borusyak-Imputation,US_45Q,,,,,-0.06426971552010499,-0.008919087829637705,298.0,-0.03659440167487135,0.014120058084302882,0.009551388087802426
TWFE,EU_IF,7871.0,-0.0029318626826957397,0.005076457483993757,0.5635740034811356,0.012462362521425886,0.007017811154980842,,,,
Sun-Abraham,EU_IF,7871.0,0.00850512035332014,,,,,,,,
Borusyak-Imputation,EU_IF,,,,,-0.011188802352982984,0.004136356456568047,2057.0,-0.003526222948207469,0.003909479288150774,0.36707417473533543
TWFE,UK_Track,7871.0,0.03637757229809586,0.014011608407997566,0.009424875597994315,0.012407726233652449,0.0638398201432497,,,,
Sun-Abraham,UK_Track,7871.0,0.00781448574045544,,,,,,,,
Borusyak-Imputation,UK_Track,,,,,0.008892139355157685,0.0645811077639833,356.0,0.0367366235595705,0.014206369492047354,0.009711771258182011
TWFE,China_FYP,6466.0,-0.044352139167293865,0.006515221433864159,9.933375320036503e-12,-0.002501564440832195,-0.031582539805616705,,,,
Sun-Abraham,China_FYP,6466.0,-0.011905464900276176,,,,,,,,
Borusyak-Imputation,China_FYP,,,,,-0.05446804559284665,-0.03546903226962074,641.0,-0.0449685389312337,0.004846687072251508,0.0
