policy,moderator,N,n_in_treat_post,n_out_treat_post,DiD_out_group,p_out,se_out,DiD_in_group,p_in,se_in,Diff_in_out,se_diff,p_diff,ci_diff_lo,ci_diff_hi,r_squared
US_45Q,is_mega,139,24,16,0.18634936550307363,0.36478568303635583,0.20561922799107518,0.34543085203188545,0.03039469945536144,0.159559106159882,0.15908148652881182,0.26009650020090497,0.5407859837530545,-0.3506982863698769,0.6688612594275005,0.3417429934204297
US_45Q,sect_chemical,139,10,30,0.22317493013639778,0.20847729659474912,0.17743791153803112,0.3667673629405973,0.09110864789805051,0.21707626621152185,0.14359243280419956,0.2824542341996853,0.6111909738435621,-0.41000769350802524,0.6971925591164243,0.3364468049395659
US_45Q,sect_power_heat,139,5,35,0.2889891444300607,0.05868499800204741,0.1528601638354391,0.46415942181734765,0.2555086034247702,0.4082061888387001,0.17517027738728697,0.4350979637354963,0.687242784987225,-0.6776060612810003,1.0279466160555741,0.322729484549548
EU_IF,is_mega,541,15,274,-0.22220643058856188,0.10578250860644325,0.13738123379806805,-0.3228523745187065,0.13590389955470128,0.21650226155983532,-0.10064594393014464,0.18673723751515703,0.5899069082199764,-0.4666442040323543,0.265352316172065,0.09781203429069918
EU_IF,sp_oil_major,541,9,280,-0.30234054989292475,0.0328984522037332,0.14172299223341994,-0.18726955143295906,0.37418907743631147,0.21073393945304902,0.11507099845996568,0.2496787199993289,0.644887374035203,-0.3742903004447794,0.6044322973647108,0.08728292707152374
EU_IF,sp_industrial_gas,541,10,279,-0.2692181211724526,0.046488009005037065,0.1352219388204935,-0.09328741361736709,0.5440849579342442,0.1537753538084752,0.1759307075550855,0.08013362382948354,0.028130132704996265,0.01887169089861712,0.3329897242115539,0.09230731016635452
EU_IF,sect_chemical,541,70,219,-0.3141043251792147,0.021718685947296285,0.1368496023068613,-0.13361491145485546,0.44989019126466534,0.1768333062551013,0.18048941372435925,0.13736922927974565,0.18887989945701045,-0.0887493282479673,0.4497281556966858,0.09785141342060288
EU_IF,sect_power_heat,541,16,273,-0.15370803993885743,0.47446113069024387,0.2149043260451097,-0.4893842320787257,0.03691602602158217,0.23452638852462743,-0.33567619213986827,0.3152542045975948,0.28697575595266,-0.9535630791259755,0.282210694846239,0.09054058844738977
UK_Track,is_mega,541,6,25,0.040098885344135166,0.7351824027452177,0.11855160847457268,-0.28838347611770676,0.3762431328046911,0.32591609471478616,-0.32848236146184195,0.34637214414114537,0.34295080711355863,-1.0073592892264032,0.35039456630271926,0.1706553651087831
UK_Track,sp_oil_major,541,7,24,0.017518168235853122,0.8887011579965415,0.12517636007208277,-0.5466809546187905,0.12665125764285046,0.3579063067814785,-0.5641991228546437,0.3804663798525406,0.13809712049266631,-1.309899524693959,0.1815012789846716,0.15835410379574322
UK_Track,sect_power_heat,541,8,23,-0.12334162432483535,0.3092851739307211,0.12131289672941337,0.31865250158413416,0.21231730239444113,0.25549046907735007,0.4419941259089695,0.28363624329343645,0.11915900133391333,-0.11392269565640639,0.9979109474743455,0.16353792056038052
China_FYP,is_mega,624,6,161,0.16197400624047584,0.054854067176681835,0.08436012851694298,0.04629117452831705,0.7335494940253546,0.13598743415713826,-0.11568283171215879,0.10918018479801955,0.2893453399387257,-0.3296720617417046,0.09830639831738705,0.18383427754975235
China_FYP,sect_chemical,624,39,128,0.12088079533236419,0.27220938242910353,0.11009292258974734,0.21625054113624648,0.026955989435440753,0.09775562160991351,0.09536974580388229,0.1474809188279025,0.5178531804735629,-0.1936875435056818,0.3844270351134464,0.18493989147519319
China_FYP,sect_power_heat,624,3,164,0.14179973639895374,0.09459921962917169,0.08482771870098325,0.12817170120323715,0.16426701683167533,0.09215265202397702,-0.013628035195716603,0.04216984224282109,0.746566368755246,-0.09627940722538171,0.0690233368339485,0.18644870719790008
