year,beta_int_t,gas_posterior_sd,sv_filtered_sigma,sv_relative_vol
2010,-0.4571003870295114,1.129874810056791,0.9441809830506354,92.57968673569478
2011,-0.706936426793033,0.8488626950595671,0.890611709956856,87.32706397511222
2012,-0.8848649440891103,0.6849980045923567,0.9095086618350959,89.17996497243419
2013,-1.0074172890227642,0.5890935167354266,0.9026794013790305,88.51033615655165
2014,-1.0971963140287158,0.5342510911622448,0.9051424754568341,88.75184772120222
2015,-1.1665166779548697,0.5046508295140179,0.9042669646709149,88.66600134667323
2016,-1.2241996096150336,0.4903321500669058,0.9045909036827682,88.69776450731426
2017,-1.2690372101041365,0.4849525602405222,0.9044913407232502,88.6880020700611
2018,-1.3058929895848177,0.4847218545044493,0.9045360566757584,88.69238659903343
2019,-1.5413721666956577,0.4934704102093475,0.907357680504969,88.96905500782755
2020,-1.4990245604824963,0.4762551644972478,0.903437893340181,88.58470849555808
2021,-1.548166490645013,0.4787215939179396,0.9048755602754869,88.72567591270605
2022,-1.4966329062851078,0.4813651893579879,0.9071287796962103,88.94661061893511
2023,-1.574329866602434,0.4892366035257088,0.9050131760624271,88.73916954017103
2024,-1.4127694229387036,0.4990705352105107,2.14974843310867,210.7890754743977
2025,-1.351248841429403,0.5227337387224102,0.702458792685838,68.87812415101521
2026,-1.488748384427566,0.505328742554644,1.0276195625049398,100.76108170786678
